Variable,Test_Type,AUC
ALL_VARIABLES,All,0.846451449957523
bio_12,With_Only,0.7307849643198037
bio_12,Without,0.8436861117371891
bio_15,With_Only,0.7501362402927327
bio_15,Without,0.8367232136121273
bio_16,With_Only,0.7303817492831863
bio_16,Without,0.851146409933569
bio_5,With_Only,0.7001160209681191
bio_5,Without,0.842849692399174
bio_8,With_Only,0.716599573496425
bio_8,Without,0.8395089351608667
control_type,With_Only,0.5954813675292173
control_type,Without,0.8298894099002998
gdem,With_Only,0.5396898547722995
gdem,Without,0.8435488171343665
phh2o,With_Only,0.6832957920844273
phh2o,Without,0.841395447348457
removal_age,With_Only,0.7131599454007949
removal_age,Without,0.8113499526966206
salinity_0,With_Only,0.7209735546228686
salinity_0,Without,0.840423373445537
