system:index,probability,.geo
0_0,0.097796425,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.08243056,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.11382693,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.30353197,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.9967477,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.10285099,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.025504066,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.10059872,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.06862083,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,0.02713666,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.1742951,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,0.26539278,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,0.063124426,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,0.18877323,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,0.24351193,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,0.026273143,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,0.3875038,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,0.6706327,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,0.13802017,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,0.3392879,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,0.2281989,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,0.022349652,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,0.23320597,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,0.016809672,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,0.08271224,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,0.22186464,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,0.10100296,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,0.66489065,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,0.8375385,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,0.013554166,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,0.31910348,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,0.3695451,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,6.0166634E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,0.0755203,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,6.1573973E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,0.09864969,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,0.18506268,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,0.13379851,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,0.01394184,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,0.075928405,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,0.06419757,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,0.17115282,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,0.08960526,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,0.17604549,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,0.1164443,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,0.07059368,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,0.097796425,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,0.12249981,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,0.08960526,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,0.22186464,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,0.0015125006,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,0.20584886,"{""type"":""MultiPoint"",""coordinates"":[]}"
127_0,0.105786815,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,0.1863837,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,0.074595734,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,0.08765951,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,0.11301686,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,0.026366431,"{""type"":""MultiPoint"",""coordinates"":[]}"
143_0,0.18456773,"{""type"":""MultiPoint"",""coordinates"":[]}"
