province,Invasion,Chemical control,Mowing 1st,Waterlogging,Waterlogging 2,Mowing 2nd,Recurring,Bio Sub,date,No change,removal_rate
FJ,30.2258,0.1249,14.5809,0.0,0.0178,0.0,0.0,8.5439,2020-01-01,20870.1543,0.166487611861188
FJ,27.338,0.0,6.2308,0.0,0.0,0.0,0.0,6.2,2020-02-01,0.0,0.23694259651065863
FJ,63.0772,0.0,24.0677,0.0,0.0,0.0,3.3234,2.9448,2020-03-01,0.0,0.4715094800671449
FJ,23.3323,0.0,11.7015,0.0,0.0,0.0,0.8836,1.1092,2020-04-01,634.0281,0.5938332552548165
FJ,15.2753,0.0,7.2332,0.0,0.0,0.1337,1.273,0.2056,2020-05-01,0.0,0.66274023846008
FJ,5.4656,0.1603,11.6421,0.0,0.0,0.0089,1.0824,0.1342,2020-06-01,0.0,0.7840576430960033
FJ,15.8369,0.0,47.5827,0.0,0.0267,0.4866,0.6348,0.0717,2020-07-01,0.0,1.3207267895049446
FJ,12.4929,0.0,66.2219,0.0,0.0,0.9887,0.1169,0.5702,2020-08-01,0.0,2.079391102847561
FJ,6.1093,0.0,21.7278,0.0,0.0089,0.2935,0.476,0.4402,2020-09-01,0.0,2.323115958424915
FJ,11.5695,0.0,14.2842,0.0,0.0,0.1267,8.358,0.2611,2020-10-01,0.0,2.3915593327243023
FJ,18.5212,0.0178,14.4198,0.0,0.0,0.1355,6.7916,0.0985,2020-11-01,0.0,2.4795489107961033
FJ,9.3696,0.0,16.4406,0.0,0.0,0.5086,2.7002,0.2062,2020-12-01,0.0,2.640669966883624
FJ,3.1903,0.0,20.2317,0.0,0.0178,1.4478,1.0541,0.1621,2021-01-01,0.0,2.8740936587234645
FJ,3.9134,0.0,196.476,0.0,0.0,2.7734,2.1954,0.0541,2021-02-01,0.0,5.102288520557274
FJ,16.8483,0.0,149.2766,0.0,0.0,1.0521,5.0495,0.1159,2021-03-01,0.0,6.745038056072017
FJ,21.1614,0.0,40.166,0.0,0.0,0.41,8.7163,0.6977,2021-04-01,0.0,7.105292706267241
FJ,35.0191,0.0,11.7781,0.0,0.0,0.3571,9.4374,0.0715,2021-05-01,0.0,7.135798172272779
FJ,27.1269,0.0,62.9591,0.0,0.0,1.0865,4.0126,0.2249,2021-06-01,0.0,7.814623378259289
FJ,15.5469,0.0,76.1858,0.0,0.0,1.1286,2.8462,4.4515,2021-07-01,0.0,8.656675103218003
FJ,25.6075,0.0,45.2756,0.0357,0.0,1.0061,3.5246,8.9293,2021-08-01,0.0,9.14015247757687
FJ,27.9003,0.0356,22.1471,0.2407,0.0,1.4692,4.3754,11.8887,2021-09-01,0.0,9.358122162303594
FJ,13.3257,0.1259,10.3674,0.9686,0.5242,0.899,2.6449,4.6947,2021-10-01,0.0,9.462961097219802
FJ,4.0199,0.0,9.8676,0.0089,0.0808,0.4216,7.9026,0.5131,2021-11-01,0.0,9.490861307325105
FJ,26.1392,0.0,12.0337,0.0,0.0,0.6772,1.3475,0.278,2021-12-01,0.0,9.619353342467551
FJ,13.8117,0.0,11.0005,0.0267,0.0,0.1876,3.3344,1.8808,2022-01-01,0.0,9.708159324515043
FJ,59.5262,0.0,14.3209,0.0,0.0,0.2495,13.3026,1.3424,2022-02-01,0.0,9.722495016486942
FJ,72.5847,0.0,8.6678,0.0,0.0,0.0889,8.6913,3.7944,2022-03-01,0.0,9.723234529229464
FJ,35.0199,0.0,14.4922,0.0,0.0,0.1694,7.5086,1.4011,2022-04-01,0.0,9.804117322000472
FJ,30.1316,0.0,49.5374,0.0,0.0,3.4868,5.1299,4.4256,2022-05-01,0.0,10.345683761510083
FJ,11.4032,0.0,49.7725,0.0,0.0,8.3757,1.0107,11.2732,2022-06-01,0.0,10.991768001962088
FJ,3.4606,0.0,110.3415,0.0,0.0533,2.1152,0.576,8.3694,2022-07-01,0.0,12.25746554509496
FJ,1.7748,0.0,1035.5921,0.5697,0.08,7.8061,0.0801,7.2185,2022-08-01,0.0,24.05572533818291
FJ,1.2545,0.0634,3292.6022,0.7177,0.3185,19.8503,0.4504,24.3206,2022-09-01,0.0,61.51062099734486
FJ,6.2305,0.3687,1863.7861,1.418,0.0,13.1093,0.6898,43.8168,2022-10-01,0.0,82.73004924091956
FJ,5.4728,0.0358,1019.5526,2.9293,0.0,12.3696,1.0979,17.4184,2022-11-01,0.0,94.3865351690889
FJ,4.2238,0.6846,86.3546,0.0,0.0,1.3319,8.9498,15.2801,2022-12-01,0.0,95.28459424213568
FJ,1.2788,0.0978,31.5476,0.2759,0.3289,0.3601,12.8988,6.2252,2023-01-01,0.0,95.50436295556783
FJ,1.4158,0.0,25.4396,0.2046,0.1955,1.7522,10.3996,3.536,2023-02-01,0.0,95.69645195581332
FJ,0.5672,0.0,42.4962,0.1958,0.0,6.75,2.4181,3.6668,2023-03-01,0.0,96.22596230226374
FJ,1.7028,0.0,7.096,0.291,0.1546,1.7571,15.7799,18.2689,2023-04-01,0.0,96.14938541855008
FJ,3.685,0.0,9.3554,0.0,0.0,3.2207,22.1983,12.3483,2023-05-01,0.0,96.04058206211207
FJ,7.7862,0.0,8.4865,1.4045,0.0268,4.3578,9.2556,11.8619,2023-06-01,0.0,96.08146445233486
FJ,0.5296,0.0,31.1574,8.0343,0.8108,12.7695,3.0989,4.2175,2023-07-01,0.0,96.55229661109807
FJ,0.6816,0.2224,112.6156,17.8525,1.4587,16.3068,6.5244,5.5724,2023-08-01,0.0,97.95532528892731
FJ,3.2926,1.2722,93.8899,1.887,0.231,1.6049,16.0318,9.7224,2023-09-01,0.0,98.87085337169756
FJ,18.3919,0.0712,3.7056,1.4486,0.1511,0.1068,46.1062,24.648,2023-10-01,0.0,98.39512844284741
FJ,13.9617,0.2404,11.4487,4.0528,0.0178,1.3906,65.4618,11.9815,2023-11-01,0.0,97.80301732506486
FJ,2.3688,0.4007,1.0488,0.9632,0.0,1.0388,37.1065,5.7443,2023-12-01,0.0,97.41157084153274
FJ,0.7234,0.1423,7.0889,0.5478,0.0,1.3622,14.527,2.159,2024-01-01,0.0,97.34447645607405
FJ,0.5711,0.0,5.5137,0.4933,0.0,9.1732,5.6776,1.3569,2024-02-01,0.0,97.44634942474619
FJ,0.3671,0.0178,21.2306,0.0799,0.0,18.6361,27.45,14.1237,2024-03-01,0.0,97.58695295986584
FJ,2.1152,0.6138,5.8339,0.1621,0.0,8.1918,58.1588,4.4749,2024-04-01,0.0,97.0948569828717
FJ,1.3554,0.0889,16.3594,0.6315,0.0,14.9177,12.2221,5.3665,2024-05-01,0.0,97.31132728855167
FJ,0.7085,0.1602,5.4078,0.8278,0.0,22.4251,10.6269,0.8976,2024-06-01,0.0,97.50769619052562
FJ,0.7311,0.6138,3.151,1.0679,0.0178,29.4976,2.1102,1.4489,2024-07-01,0.0,97.86015203432154
FJ,0.7573,1.637,3.8894,0.2933,0.0,37.9674,0.4549,6.3464,2024-08-01,0.0,98.34681587184313
