system:index,bands_value,label,latitude,longitude,system:time_start,.geo
0_2020_01,"{B2=926.0, B3=1120.0, B4=1028.5, B5=1064.5, B6=970.0, B7=1022.0, B8=684.5, B8A=1043.5, B11=929.5, B12=893.0, VV=-9.677631444437814, VH=-18.43787266558592}",2,26.71544186818804,119.98789645497664,2020-01-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_02,"{B2=713.0, B3=825.5, B4=666.0, B5=715.0, B6=718.0, B7=742.0, B8=791.0, B8A=747.5, B11=576.5, B12=407.0, VV=-14.897567386333295, VH=-23.44938788814149}",2,26.71544186818804,119.98789645497664,2020-02-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_03,"{B2=1014.0, B3=1032.0, B4=711.5, B5=728.5, B6=629.0, B7=625.5, B8=591.0, B8A=625.5, B11=469.5, B12=435.5, VV=-6.976804413843028, VH=-15.596996145377332}",2,26.71544186818804,119.98789645497664,2020-03-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_04,"{B2=951.0, B3=1092.0, B4=961.0, B5=905.5, B6=720.5, B7=720.0, B8=728.5, B8A=621.5, B11=473.0, B12=361.5, VV=-14.851518372436754, VH=-19.603664008522163}",2,26.71544186818804,119.98789645497664,2020-04-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2020_05,"{B2=787.0, B3=967.0, B4=1027.0, B5=1145.0, B6=1224.5, B7=1263.0, B8=1263.0, B8A=1277.5, B11=1299.5, B12=963.5, VV=-7.131036905045647, VH=-16.35679012975323}",1,26.71544186818804,119.98789645497664,2020-05-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2020_06,"{B2=1025.0, B3=1257.0, B4=1281.0, B5=1411.5, B6=1436.0, B7=1555.0, B8=1510.0, B8A=1509.0, B11=1283.0, B12=945.5, VV=-14.552926684356624, VH=-23.41977383492878}",1,26.71544186818804,119.98789645497664,2020-06-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2020_07,"{B2=1189.0, B3=1350.0, B4=1196.0, B5=1172.0, B6=1049.5, B7=1132.0, B8=1002.5, B8A=1075.0, B11=836.0, B12=649.0, VV=-7.260551345468089, VH=-16.5314986237506}",1,26.71544186818804,119.98789645497664,2020-07-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2020_08,"{B2=746.0, B3=874.0, B4=782.0, B5=876.5, B6=818.0, B7=934.5, B8=649.0, B8A=869.5, B11=463.5, B12=254.0, VV=-12.1525116831889, VH=-24.237997898901696}",1,26.71544186818804,119.98789645497664,2020-08-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2020_09,"{B2=741.0, B3=873.0, B4=608.5, B5=531.0, B6=339.0, B7=380.5, B8=245.0, B8A=285.5, B11=129.5, B12=85.0, VV=-8.287068442364557, VH=-14.109137834927214}",1,26.71544186818804,119.98789645497664,2020-09-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2020_10,"{B2=732.0, B3=903.5, B4=994.5, B5=1061.0, B6=1231.5, B7=1335.5, B8=1244.0, B8A=1338.5, B11=1215.0, B12=835.5, VV=-13.203974609055223, VH=-24.337409866687075}",1,26.71544186818804,119.98789645497664,2020-10-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2020_11,"{B2=874.0, B3=1086.0, B4=1134.0, B5=1189.0, B6=1357.0, B7=1438.0, B8=1504.0, B8A=1444.0, B11=1358.0, B12=975.0, VV=-8.696534637185255, VH=-18.097570365988148}",1,26.71544186818804,119.98789645497664,2020-11-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2020_12,"{B2=882.1147540983607, B3=1059.1967213114754, B4=961.3770491803278, B5=1006.0491803278688, B6=1068.8032786885246, B7=1095.2131147540983, B8=1169.8196721311476, B8A=1107.1147540983607, B11=990.8688524590164, B12=721.9672131147541, VV=-9.56301819626466, VH=-18.10147698098967}",1,26.71544186818804,119.98789645497664,2020-12-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2021_01,"{B2=890.5, B3=1031.5, B4=783.0, B5=817.0, B6=771.0, B7=741.0, B8=824.5, B8A=759.0, B11=611.5, B12=460.5, VV=-8.430056076218339, VH=-19.072981106137263}",1,26.71544186818804,119.98789645497664,2021-01-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2021_02,"{B2=866.5, B3=1006.0, B4=966.0, B5=1080.5, B6=1104.5, B7=1157.5, B8=1195.0, B8A=1113.5, B11=895.5, B12=622.5, VV=-12.848488081860651, VH=-20.01120534335893}",1,26.71544186818804,119.98789645497664,2021-02-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2021_03,"{B2=903.5, B3=1004.5, B4=903.5, B5=841.0, B6=658.0, B7=653.5, B8=545.5, B8A=543.5, B11=235.0, B12=142.5, VV=-10.59791420440957, VH=-14.053898489854388}",1,26.71544186818804,119.98789645497664,2021-03-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2021_04,"{B2=908.5, B3=1050.0, B4=977.5, B5=972.5, B6=811.0, B7=842.0, B8=674.0, B8A=746.0, B11=444.0, B12=315.0, VV=-11.497538428881183, VH=-19.867627622273268}",1,26.71544186818804,119.98789645497664,2021-04-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2021_05,"{B2=991.860655737705, B3=1096.2295081967213, B4=980.2049180327868, B5=944.7131147540983, B6=842.4754098360655, B7=871.016393442623, B8=713.344262295082, B8A=805.016393442623, B11=612.688524590164, B12=526.967213114754, VV=-10.147101626496388, VH=-18.139399729751663}",1,26.71544186818804,119.98789645497664,2021-05-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2021_06,"{B2=1078.0, B3=1144.0, B4=983.0, B5=916.0, B6=875.0, B7=901.0, B8=754.0, B8A=866.0, B11=787.0, B12=746.0, VV=-8.481985543120334, VH=-16.409850934238563}",1,26.71544186818804,119.98789645497664,2021-06-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2021_07,"{B2=1253.5, B3=1419.5, B4=1147.5, B5=973.0, B6=742.5, B7=753.0, B8=790.0, B8A=647.5, B11=559.0, B12=505.0, VV=-8.372945649618872, VH=-18.40400191909445}",1,26.71544186818804,119.98789645497664,2021-07-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2021_08,"{B2=1318.0, B3=1323.0, B4=1166.0, B5=1158.0, B6=826.5, B7=842.5, B8=821.5, B8A=736.0, B11=722.0, B12=632.0, VV=-6.854374593659004, VH=-15.883408103415592}",1,26.71544186818804,119.98789645497664,2021-08-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
