system:index,bands_value,label,latitude,longitude,system:time_start,.geo
0_2019_08,"{B2=554.0, B3=727.0, B4=681.5, B5=1061.5, B6=1687.0, B7=1917.0, B8=1850.5, B8A=2047.5, B11=1603.5, B12=1005.5, VV=-12.48565272450643, VH=-17.5404706840671}",1,33.04929565626947,120.88244120124119,2019-08-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2019_09,"{B2=1252.0, B3=1419.0, B4=1114.0, B5=1476.0, B6=2404.0, B7=2678.5, B8=2679.0, B8A=2799.0, B11=1674.5, B12=949.0, VV=-14.38145733013377, VH=-18.3372562775489}",1,33.04929565626947,120.88244120124119,2019-09-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2019_10,"{B2=583.5, B3=762.5, B4=790.5, B5=1127.5, B6=1712.0, B7=1940.5, B8=2027.5, B8A=2076.0, B11=1304.0, B12=795.5, VV=-11.61548561778061, VH=-15.093561738621492}",1,33.04929565626947,120.88244120124119,2019-10-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2019_11,"{B2=320.0, B3=533.5, B4=626.5, B5=1004.5, B6=1524.5, B7=1753.0, B8=1872.0, B8A=1945.0, B11=1181.0, B12=677.0, VV=-10.707784611237665, VH=-15.296384174054701}",1,33.04929565626947,120.88244120124119,2019-11-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2019_12,"{B2=731.5, B3=783.0, B4=928.5, B5=1171.0, B6=1360.0, B7=1541.5, B8=1738.0, B8A=1779.0, B11=1230.0, B12=687.0, VV=-11.805992771447034, VH=-15.042658731880254}",1,33.04929565626947,120.88244120124119,2019-12-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_01,"{B2=1121.0, B3=1112.0, B4=1197.0, B5=1371.0, B6=1398.0, B7=1497.5, B8=1566.0, B8A=1606.5, B11=1555.5, B12=1007.5, VV=-11.561780658215756, VH=-14.633444585945844}",1,33.04929565626947,120.88244120124119,2020-01-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_02,"{B2=446.0, B3=587.0, B4=736.0, B5=917.5, B6=965.5, B7=1088.5, B8=1200.0, B8A=1247.0, B11=1621.0, B12=1107.0, VV=-10.477849789865724, VH=-15.086355796097337}",1,33.04929565626947,120.88244120124119,2020-02-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_03,"{B2=496.5, B3=611.0, B4=760.5, B5=896.0, B6=980.5, B7=1109.5, B8=1247.0, B8A=1269.0, B11=1767.0, B12=1240.0, VV=-10.335354587221808, VH=-14.709561320505365}",1,33.04929565626947,120.88244120124119,2020-03-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_04,"{B2=736.5, B3=809.5, B4=911.5, B5=1071.0, B6=1192.0, B7=1297.0, B8=1423.5, B8A=1405.5, B11=1930.5, B12=1411.0, VV=-10.431720481186623, VH=-14.403575883086525}",1,33.04929565626947,120.88244120124119,2020-04-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_05,"{B2=668.5, B3=735.5, B4=828.5, B5=1009.0, B6=1238.5, B7=1386.0, B8=1445.0, B8A=1509.0, B11=1857.5, B12=1382.5, VV=-11.741024934792618, VH=-13.246788252571793}",1,33.04929565626947,120.88244120124119,2020-05-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_06,"{B2=629.0, B3=734.5, B4=771.0, B5=985.5, B6=1286.0, B7=1416.5, B8=1444.0, B8A=1548.5, B11=1910.5, B12=1368.0, VV=-11.414205930232189, VH=-15.450720950132077}",1,33.04929565626947,120.88244120124119,2020-06-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_07,"{B2=763.5, B3=878.5, B4=915.0, B5=1310.0, B6=1895.0, B7=2176.0, B8=1986.0, B8A=2288.0, B11=1920.5, B12=1432.0, VV=-15.04476356496695, VH=-17.365631978053564}",1,33.04929565626947,120.88244120124119,2020-07-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_08,"{B2=295.0, B3=511.5, B4=382.0, B5=776.0, B6=1858.5, B7=2222.5, B8=2150.0, B8A=2355.0, B11=1347.0, B12=705.5, VV=-15.748717715685617, VH=-18.02181443184666}",1,33.04929565626947,120.88244120124119,2020-08-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_09,"{B2=567.0, B3=681.5, B4=542.0, B5=864.5, B6=1823.0, B7=2102.5, B8=2171.5, B8A=2236.5, B11=1224.5, B12=690.5, VV=-14.965812433139934, VH=-19.06535558073304}",1,33.04929565626947,120.88244120124119,2020-09-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_10,"{B2=500.0, B3=749.0, B4=674.5, B5=1126.0, B6=1961.5, B7=2165.0, B8=2266.0, B8A=2380.0, B11=1204.5, B12=610.0, VV=-13.109844080326862, VH=-16.53069384493805}",1,33.04929565626947,120.88244120124119,2020-10-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_11,"{B2=548.0, B3=717.0, B4=708.0, B5=1152.0, B6=1884.0, B7=2150.5, B8=2342.5, B8A=2351.5, B11=1277.5, B12=687.0, VV=-11.38198218972209, VH=-16.333799765043903}",1,33.04929565626947,120.88244120124119,2020-11-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_12,"{B2=325.0, B3=531.0, B4=651.5, B5=1064.5, B6=1489.0, B7=1638.5, B8=1882.5, B8A=1912.0, B11=1386.5, B12=792.0, VV=-11.311981424758864, VH=-15.257373561969164}",1,33.04929565626947,120.88244120124119,2020-12-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_01,"{B2=374.0, B3=566.0, B4=895.5, B5=1156.0, B6=1280.0, B7=1437.0, B8=1722.0, B8A=1775.0, B11=1768.5, B12=1096.0, VV=-10.009208421982343, VH=-14.653510670024062}",1,33.04929565626947,120.88244120124119,2021-01-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_02,"{B2=543.0, B3=695.5, B4=1010.5, B5=1173.5, B6=1258.0, B7=1384.5, B8=1588.0, B8A=1602.0, B11=1831.5, B12=1184.0, VV=-7.89849511327952, VH=-15.254586849727506}",1,33.04929565626947,120.88244120124119,2021-02-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_03,"{B2=736.5, B3=845.0, B4=1025.0, B5=1157.0, B6=1222.0, B7=1355.5, B8=1462.5, B8A=1507.5, B11=2158.5, B12=1571.5, VV=-8.069359550230583, VH=-14.329947957610957}",1,33.04929565626947,120.88244120124119,2021-03-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_04,"{B2=825.5, B3=927.0, B4=1034.5, B5=1128.5, B6=1203.0, B7=1281.5, B8=1463.0, B8A=1417.5, B11=2116.5, B12=1631.0, VV=-8.979771513462774, VH=-14.99490134214179}",1,33.04929565626947,120.88244120124119,2021-04-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_05,"{B2=709.5, B3=872.5, B4=931.5, B5=1112.5, B6=1388.5, B7=1519.0, B8=1625.5, B8A=1678.0, B11=2189.0, B12=1625.5, VV=-10.402260810021154, VH=-14.943630312164789}",1,33.04929565626947,120.88244120124119,2021-05-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_06,"{B2=579.0, B3=663.5, B4=675.0, B5=923.5, B6=1437.5, B7=1676.0, B8=1688.5, B8A=1776.5, B11=1964.0, B12=1332.5, VV=-12.640684177602218, VH=-15.725045405995585}",1,33.04929565626947,120.88244120124119,2021-06-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_07,"{B2=413.0, B3=592.0, B4=538.5, B5=910.5, B6=1697.5, B7=1894.0, B8=1870.5, B8A=2152.0, B11=1716.5, B12=999.0, VV=-14.03762877073239, VH=-18.705915679961482}",1,33.04929565626947,120.88244120124119,2021-07-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_08,"{B2=639.5, B3=795.5, B4=649.5, B5=1120.0, B6=1945.0, B7=2247.0, B8=2059.0, B8A=2367.0, B11=1530.5, B12=876.5, VV=-12.902116461267019, VH=-18.754410805906566}",1,33.04929565626947,120.88244120124119,2021-08-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_09,"{B2=300.5, B3=459.0, B4=366.5, B5=740.5, B6=1740.0, B7=2120.0, B8=2151.5, B8A=2273.5, B11=1134.0, B12=551.0, VV=-13.511342316703896, VH=-18.844718043835318}",1,33.04929565626947,120.88244120124119,2021-09-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_10,"{B2=499.0, B3=657.0, B4=548.0, B5=988.5, B6=1911.5, B7=2204.0, B8=2265.0, B8A=2359.0, B11=1222.5, B12=609.0, VV=-12.765614011121087, VH=-16.4582294357542}",1,33.04929565626947,120.88244120124119,2021-10-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_11,"{B2=269.0, B3=429.0, B4=455.0, B5=828.5, B6=1441.0, B7=1671.0, B8=1847.5, B8A=1874.0, B11=1151.0, B12=609.0, VV=-11.736302392319878, VH=-15.045756380512225}",1,33.04929565626947,120.88244120124119,2021-11-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_12,"{B2=282.0, B3=403.5, B4=555.0, B5=875.5, B6=1177.5, B7=1336.5, B8=1522.0, B8A=1566.0, B11=1176.5, B12=692.0, VV=-10.89341517643593, VH=-15.778337070818651}",1,33.04929565626947,120.88244120124119,2021-12-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2022_01,"{B2=823.5, B3=862.5, B4=1038.0, B5=1297.0, B6=1394.5, B7=1540.0, B8=1669.0, B8A=1722.0, B11=1357.0, B12=787.0, VV=-9.940867727365301, VH=-15.786829183956963}",1,33.04929565626947,120.88244120124119,2022-01-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2022_02,"{B2=304.0, B3=428.0, B4=742.0, B5=931.5, B6=1063.0, B7=1219.0, B8=1424.0, B8A=1450.5, B11=1605.5, B12=1026.5, VV=-8.91589017734644, VH=-15.78250203600148}",1,33.04929565626947,120.88244120124119,2022-02-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2022_03,"{B2=344.0, B3=533.5, B4=818.0, B5=1041.0, B6=1148.5, B7=1291.0, B8=1492.5, B8A=1506.0, B11=1755.5, B12=1147.5, VV=-10.428142499280563, VH=-17.373329046174227}",1,33.04929565626947,120.88244120124119,2022-03-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2022_04,"{B2=570.0, B3=724.5, B4=878.0, B5=1058.0, B6=1163.5, B7=1294.0, B8=1367.0, B8A=1424.5, B11=1835.0, B12=1236.5, VV=-9.938262190308038, VH=-16.02382289021698}",1,33.04929565626947,120.88244120124119,2022-04-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2022_05,"{B2=450.5, B3=567.0, B4=640.0, B5=905.0, B6=1303.0, B7=1505.0, B8=1554.5, B8A=1683.5, B11=1986.5, B12=1319.5, VV=-10.86115387517533, VH=-18.63222292461498}",1,33.04929565626947,120.88244120124119,2022-05-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
