system:index,bands_value,label,latitude,longitude,system:time_start,.geo
0_2020_01,"{B2=328.5, B3=470.5, B4=895.0, B5=1262.5, B6=1425.5, B7=1610.0, B8=1743.0, B8A=1707.0, B11=971.5, B12=550.0, VV=-10.911810485773687, VH=-14.759090496595872}",2,38.789259897219935,117.58795844762071,2020-01-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_02,"{B2=913.0, B3=998.5, B4=1195.0, B5=1327.0, B6=1225.0, B7=1286.5, B8=1359.0, B8A=1305.0, B11=795.0, B12=467.5, VV=-9.116789717260804, VH=-16.53243696446853}",2,38.789259897219935,117.58795844762071,2020-02-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_03,"{B2=742.5, B3=956.0, B4=1334.0, B5=1486.0, B6=1564.5, B7=1708.0, B8=2047.0, B8A=1908.5, B11=1580.0, B12=1036.0, VV=-10.244682624929823, VH=-15.381847870639188}",2,38.789259897219935,117.58795844762071,2020-03-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_04,"{B2=864.5, B3=1076.0, B4=1485.0, B5=1613.5, B6=1707.0, B7=1822.0, B8=2096.0, B8A=1992.0, B11=1914.0, B12=1331.0, VV=-9.426330051953052, VH=-16.9269823803399}",2,38.789259897219935,117.58795844762071,2020-04-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_05,"{B2=837.0, B3=1044.5, B4=1322.0, B5=1536.0, B6=1738.5, B7=1872.0, B8=2074.0, B8A=2048.5, B11=1942.5, B12=1380.5, VV=-11.823242325782665, VH=-16.726766175428324}",2,38.789259897219935,117.58795844762071,2020-05-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_06,"{B2=934.0, B3=1130.0, B4=1307.0, B5=1536.5, B6=1639.5, B7=1804.0, B8=1873.0, B8A=1930.0, B11=1887.5, B12=1335.0, VV=-9.837773304383113, VH=-13.622261502828803}",2,38.789259897219935,117.58795844762071,2020-06-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_07,"{B2=1051.0, B3=1153.0, B4=1082.0, B5=1279.0, B6=1545.0, B7=1673.0, B8=1618.0, B8A=1703.5, B11=1300.5, B12=865.0, VV=-9.681248385394651, VH=-17.019694299289124}",2,38.789259897219935,117.58795844762071,2020-07-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_08,"{B2=647.0, B3=785.5, B4=724.0, B5=1038.0, B6=1599.0, B7=1839.0, B8=1809.0, B8A=1963.0, B11=1419.5, B12=845.0, VV=-9.065173357134135, VH=-16.02668993664699}",2,38.789259897219935,117.58795844762071,2020-08-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_09,"{B2=462.5, B3=585.0, B4=545.5, B5=807.5, B6=1559.5, B7=1807.0, B8=1912.0, B8A=1941.0, B11=1053.0, B12=605.0, VV=-10.372688626420386, VH=-15.101036028084641}",2,38.789259897219935,117.58795844762071,2020-09-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_10,"{B2=269.5, B3=491.5, B4=547.0, B5=897.5, B6=1670.5, B7=1983.5, B8=2180.0, B8A=2163.0, B11=1107.0, B12=657.0, VV=-10.34719918601381, VH=-16.37986266808821}",2,38.789259897219935,117.58795844762071,2020-10-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_11,"{B2=476.0, B3=642.5, B4=795.0, B5=1146.5, B6=1598.0, B7=1807.0, B8=2024.0, B8A=1989.0, B11=1085.5, B12=623.5, VV=-9.280681839269619, VH=-15.136762416018978}",2,38.789259897219935,117.58795844762071,2020-11-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_12,"{B2=378.5, B3=524.0, B4=838.5, B5=1085.0, B6=1374.0, B7=1542.0, B8=1825.0, B8A=1738.5, B11=1170.5, B12=693.5, VV=-10.073760614985641, VH=-15.724725645472986}",2,38.789259897219935,117.58795844762071,2020-12-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_01,"{B2=520.0, B3=720.0, B4=1284.0, B5=1598.0, B6=1783.0, B7=2022.0, B8=2214.0, B8A=2200.0, B11=1080.0, B12=663.0, VV=-13.312998102517437, VH=-19.539882976141307}",2,38.789259897219935,117.58795844762071,2021-01-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_02,"{B2=486.5, B3=610.5, B4=999.5, B5=1158.5, B6=1303.0, B7=1431.0, B8=1685.0, B8A=1668.5, B11=1252.5, B12=782.0, VV=-10.426380019736818, VH=-14.402791760059564}",2,38.789259897219935,117.58795844762071,2021-02-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_03,"{B2=1296.0, B3=1444.0, B4=1794.0, B5=1972.0, B6=2103.0, B7=2233.0, B8=2458.0, B8A=2373.0, B11=2160.0, B12=1544.0, VV=-11.15740973141703, VH=-17.390624622719066}",2,38.789259897219935,117.58795844762071,2021-03-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_04,"{B2=889.0, B3=1218.0, B4=1775.0, B5=1942.5, B6=2052.5, B7=2226.5, B8=2535.0, B8A=2464.0, B11=2458.0, B12=1772.5, VV=-10.878363825463943, VH=-15.871208449634228}",2,38.789259897219935,117.58795844762071,2021-04-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_05,"{B2=886.0, B3=1224.0, B4=1605.0, B5=1803.5, B6=2009.0, B7=2199.0, B8=2452.0, B8A=2452.0, B11=2478.5, B12=1827.0, VV=-11.37399440517225, VH=-17.858895751553074}",2,38.789259897219935,117.58795844762071,2021-05-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_06,"{B2=935.0, B3=1099.0, B4=1322.0, B5=1536.5, B6=1665.0, B7=1824.0, B8=1937.0, B8A=1992.5, B11=2222.0, B12=1693.0, VV=-10.568949288462386, VH=-15.616002256769372}",2,38.789259897219935,117.58795844762071,2021-06-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2021_07,"{B2=728.5, B3=857.0, B4=901.0, B5=1187.0, B6=1613.5, B7=1849.5, B8=1837.0, B8A=1975.5, B11=1996.5, B12=1473.5, VV=-11.35852661150382, VH=-18.069012203264982}",2,38.789259897219935,117.58795844762071,2021-07-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
