system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0.1255,53.5193,0.8080,18.0693,0,281.0134,0,0.5655,0,2020-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.0253,20.0445,0.1936,10.2431,0,0.1416,0,0.0574,0,2020-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,24.3672,0.1266,38.6524,0,0,1.9170,0.0084,0,2020-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,15.5422,0.0921,77.1823,0,0.0750,1.6015,0,0,2020-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,26.2277,0.0169,42.0518,0.0419,0,3.7855,0,0,2020-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,188.8962,0.0252,7.3008,0.0748,0,21.9434,0,0,2020-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,266.3074,0.1665,7.6582,0.1500,0,24.6290,0,0,2020-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,159.3831,0.0166,23.7539,0.3019,0,5.2913,0,0,2020-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,77.5155,0.0252,31.2355,0.5641,0,11.6970,0.1662,0,2020-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,33.0743,0.0827,23.0221,1.0283,0,7.3591,0,0,2020-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,16.6488,0.0503,14.8588,0.1509,0,4.2526,0,0,2020-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,19.9038,0,7.6428,0.2330,0,14.3854,0,0,2020-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,51.2064,0.0084,4.8940,0.0915,0,10.3787,0,0,2021-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,12.8997,0.0422,21.8398,0.8163,0,7.1344,0,0,2021-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,18.4936,0,57.2560,2.6536,0,5.6659,0,0,2021-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,38.7826,0,26.8026,3.6158,0,5.4623,0,0,2021-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,169.3137,0.1089,28.5384,4.9248,0,19.6616,0,0,2021-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,182.1577,0.2340,28.9728,1.7128,0,25.8114,0.0492,0,2021-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,347.0498,0.8202,61.0593,2.3344,0,13.3603,0,0,2021-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,147.6449,0.1675,40.8446,2.7698,0,7.6639,0,0,2021-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,36.7946,0.1672,117.3149,6.0694,0,1.5981,0,0,2021-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.1639,66.6696,0.6336,55.2466,1.4165,0,4.8043,0,0.0332,2021-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,15.0865,0.3073,105.5441,3.8251,0,6.4812,0,0,2021-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,17.2115,0.4917,75.3073,2.1571,0,14.5291,0,0,2021-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,21.1085,0.4440,45.2222,2.1177,0,37.2817,0,0.0168,2022-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,43.1556,0.5143,57.4538,1.7339,0,29.9622,0,0,2022-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,33.9316,0.2614,10.0655,0.5237,0,38.3529,0,0,2022-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,69.2236,0.2783,21.4024,1.4038,0,65.1638,0,0,2022-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,94.4102,0.1764,31.2810,2.1173,0,19.4455,0,0,2022-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,215.6333,0.1849,58.7950,5.8009,0,24.6158,0.4784,0,2022-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,69.8773,0.6632,52.7892,4.5910,0,8.3382,0.0168,0.6207,2022-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,26.8178,0.4925,50.6568,6.7975,0,3.9586,0.4016,0.2099,2022-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.0756,62.7994,1.6318,79.8587,5.7575,0,6.1946,0.0656,0.0252,2022-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.0252,4.5262,0.0252,53.5521,3.0737,0,0.9575,0,0,2022-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.2519,16.0413,0.0165,62.5361,5.1481,0,4.3421,0.2458,0.3666,2022-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,2.0070,0.0082,93.3737,2.3403,0,3.0013,0.0823,0.0420,2022-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,8.3465,0,121.4261,2.8889,0,7.4631,0.0420,0.0164,2023-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,4.9007,0,91.8389,0.8500,0,9.0272,0,0.0166,2023-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,4.5042,0.1338,100.1467,2.0880,0,2.9543,0.2223,0.4189,2023-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,11.2312,0.0415,74.5890,7.7850,0,8.0845,1.8107,1.1817,2023-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,29.7567,0.5101,49.8808,2.4701,0,8.6081,0.2984,0.7751,2023-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,41.6636,0.6310,151.6049,6.7964,0,4.4959,0.1161,10.8572,2023-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,6.5048,1.1876,472.7605,11.9369,0,2.2402,0.3924,0.4873,2023-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,24.1847,3.8676,962.4289,23.9901,0,5.4785,2.4517,0.2674,2023-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.1345,6.1986,1.0850,1829.1835,39.0843,0,3.6235,92.4613,22.7724,2023-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,3.6475,8.6112,1.6173,2670.6835,43.6828,0,6.7018,496.4769,86.7862,2023-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2.5061,2.3820,1.2504,1046.6115,33.0337,0,1.8232,1297.2228,69.2564,2023-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,7.8091,0.7015,0.0082,104.0879,2.9437,0,15.3858,399.8151,95.3666,2023-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
