system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0,34.1829,0.1287,26.7180,0,321.9254,0,0,0,2020-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,22.8270,0.0882,10.9378,0,0.0079,0,0,0,2020-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,16.7904,0.2165,41.8787,0,0,1.0432,0,0,2020-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,10.2123,0.0804,46.5767,0,0,1.9511,0,0,2020-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,39.8770,0.0241,20.1009,0.0160,0,4.7267,0,0,2020-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,368.8098,0.0322,2.1870,0.0161,0,50.4066,0,0,2020-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,269.2414,0.5974,0.8350,0.0159,0,39.9412,0,0,2020-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,145.9256,0.6355,0.6112,0,0,5.5109,0,0,2020-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,22.9213,1.7432,9.8506,0.0712,0,0.3014,0,0,2020-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,14.0492,0.2091,4.0172,0.0724,0,0.6488,0,0,2020-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,10.5076,0.1912,3.8813,0.0236,0,2.1531,0,0,2020-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,10.1795,0,4.1901,0,0,1.8558,0,0,2020-12-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,24.2993,0,5.1655,0.0884,0,1.8691,0,0,2021-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,10.6411,0,2.3724,0.3495,0,0.2216,0,0,2021-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,8.4975,0,7.3902,1.0494,0,2.4926,0,0,2021-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,46.5123,0.0158,14.6190,0.5426,0,0.8931,0,0,2021-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,91.1174,0,10.1195,0.3253,0,5.5317,0,0,2021-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,51.1984,0,19.4112,0.4360,0,5.4898,0.0079,0,2021-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,31.0151,0.0724,45.7412,0.7493,0,1.4665,0,0,2021-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,30.2938,0.0644,198.7070,7.0993,0,0.8470,0,0,2021-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,2.4091,5.4073,3210.1241,42.0947,0,0.0638,0.0393,0,2021-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,2.3548,3.1139,2383.5507,21.1649,0,0.0798,0.0945,0,2021-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,0.2687,3.6217,477.1576,7.6405,0,0.3494,0.0237,0,2021-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,0.0719,1.0943,344.4316,8.7677,0,0.8558,0,0,2021-12-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,0.7881,1.6656,36.4685,1.1045,0,11.6499,0,0,2022-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,0.1433,0,39.2304,1.7839,0,52.5641,0,0,2022-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,1.7803,0,7.9462,2.1009,0,124.1436,0,0.0394,2022-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,3.9836,0,7.1694,6.3398,0,2212.5609,0,0.0552,2022-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,1.2564,0.0161,20.1335,5.9066,0,52.4540,0.0315,3.6512,2022-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,5.2197,0.0241,21.6108,16.4345,0,18.0569,0,0.5914,2022-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,0.9284,0.1448,40.4862,228.7053,0,2.2812,0.0317,0.4494,2022-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
