system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,5.2336,5.1382,0.5210,27.6435,0,60.1665,0,0.0085,0,2020-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,1.4319,0.0765,26.0748,0,0,0,0,0,2020-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,44.7623,1.1526,23.4350,0,0,2.4234,0,0,2020-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,64.1461,1.9154,6.4969,0,0.1453,7.7376,0,0,2020-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,65.4527,0.6233,1.6201,0,0,11.5735,0,0,2020-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,159.4814,0.2219,21.2840,3.6251,0,30.1334,0,0,2020-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,96.6738,0.3841,15.9786,0.3481,0,23.0417,0,0,2020-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,6.5465,0.2723,5.1736,0.0255,0,0.2804,0,0,2020-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,18.4028,0,7.0768,0.2292,0,0.3585,0,0,2020-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,30.6004,0.0255,2.8538,0.7302,0,0.6309,0,0,2020-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,5.4495,0,0.6283,0,0,2.2947,0,0,2020-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,6.5431,0,1.7400,0.0428,0,1.4372,0,0,2020-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,1.5991,0,3.9773,0.5813,0,0.1617,0,0,2021-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,0.5463,0,23.5185,1.1584,0,0.1276,0,0,2021-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,8.3823,0.0171,3.8858,0.1699,0,0.6201,0,0,2021-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,83.2948,0,1.2852,0.0509,0,18.0361,0,0,2021-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,111.5867,0.0940,2.4152,0.2038,0,11.5769,0,0,2021-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,26.5344,0.2304,2.7837,0.1791,0,3.5751,0,0,2021-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,25.2222,0.4018,10.7707,0.2894,0,10.8586,0,0,2021-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,12.5942,1.1448,6.2300,0.2806,0,2.4976,0,0,2021-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,2.4498,6.7908,6.4470,0.7478,0,0.8162,0,0,2021-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.0684,0.1870,3.1942,10.1582,3.0649,0,0.5439,0,0,2021-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,0.2724,0.4757,13.7122,0.2303,0,1.2058,0,0,2021-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,0.0428,0.0425,10.6489,1.2034,0,1.7073,0,0,2021-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.0085,0.7757,0,1.0389,0.5293,0,1.4451,0,0,2022-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,0.3494,0,6.0383,1.7021,0,0.4168,0,0,2022-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,1.3123,0,6.3334,0.6389,0,4.8869,0,0,2022-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,11.3914,0.0255,6.8066,0.2646,0,15.1780,0,0,2022-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,50.5885,0.1620,3.9409,0.1024,0,13.4321,0,0,2022-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,59.4096,0.1277,3.0939,0.3566,0,20.5294,0,0,2022-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,5.5315,0.1275,2.8787,0.4332,0,2.1342,0,0,2022-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,2.0020,0.4600,16.0241,4.1828,0,1.5110,0,0,2022-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,0.1708,4.3370,46.0106,18.6539,0,0.6320,0,0,2022-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,0.4419,1.8288,30.5576,14.9279,0,0.5631,0,0,2022-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,0.1446,0.2641,17.3548,4.3980,0,0.4678,4.5021,0,2022-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.0085,0.0853,0.3581,3.7265,1.0124,0,0.1023,0,0,2022-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.0597,0.3673,0.1449,7.6061,0.2378,0,3.3499,0,0,2023-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,0.3499,0,2.2594,0.7387,0,5.2928,0,0,2023-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,1.0336,0.0170,6.6073,1.2309,0,4.5175,0.0425,0,2023-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,0.8118,0.0425,32.3146,3.2430,0,2.3400,0,0,2023-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,1.4606,0,71.3831,6.9952,0,0.6999,0,0,2023-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,3.4186,0.7567,81.6456,3.9645,0,0.3649,0.0509,0.0085,2023-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,0.3995,2.5015,49.5066,1.6389,0,0.4329,0,0.1019,2023-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,1.5026,0.1368,10.8650,149.4205,6.5183,0,0.0255,0,0,2023-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,335.8114,0.1281,10.8495,164.4748,6.9642,0,0.2126,0,0,2023-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,30.9596,0.1023,2.5910,60.0328,0.5607,0,1.4327,0,0.0681,2023-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,8.0991,0.0085,1.1144,77.2808,0.6544,0,0.1446,0.0854,0,2023-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,5.0700,0.0085,0.1958,17.1942,1.6315,0,0.9547,0,0.0255,2023-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,3.5311,0.0170,0.0171,3.1476,0.8998,0,8.6886,0,0,2024-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.6647,0,0.0937,5.4415,0.2220,0,11.5496,0,0,2024-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.4938,0.0340,9.3053,5.5362,0.0598,0,33.3185,0.7348,0,2024-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.0085,0.2041,5.9832,12.6008,0.2988,0,16.2345,0,0.0341,2024-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,0.1109,0.7153,27.4090,11.5200,0,4.5205,1.3329,0,2024-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.1528,0,2.7818,27.6000,23.6422,0,1.1471,0,0,2024-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,1.2976,0,10.1848,8.3333,1.7588,0,0.4849,0,0,2024-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
