system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,1.4158,144.8255,8.2477,32.0421,0,623.3117,0,0.0435,0,2020-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,157.1085,4.1296,6.8053,0,0.0870,0,0.0435,0,2020-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,308.6571,4.1978,11.2928,0,0,7.6786,0,0,2020-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,217.4908,1.8492,17.4288,0,95.0800,7.0335,0,0,2020-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.0350,113.2716,1.6615,7.3305,0,0,4.8626,0.0602,0,2020-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.0087,170.2631,1.5939,6.7064,0,0,6.7824,0.1827,0,2020-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.4280,119.9267,0.6579,21.4328,0.0688,0,2.5805,0.1054,0,2020-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.0430,21.9317,1.6517,163.5297,0.8801,0,0.7528,0.0522,0,2020-08-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,24.1031,0.4897,54.3588,0.2251,0,0.7535,0.0087,0,2020-09-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,18.2565,0.3585,14.1712,0.0260,0,5.3506,0.0437,0.0086,2020-10-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,13.7066,0.1126,13.2823,0,0,26.6377,0.0785,0,2020-11-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.0518,12.5750,0.0262,11.3178,0.1656,0,28.7493,0.0344,0,2020-12-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,7.4600,0.0265,18.1977,1.3041,0,8.9330,0,0,2021-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,5.9596,0.0960,29.3007,1.4745,0,8.4782,0,0,2021-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,57.4277,0.6990,17.2718,1.4987,0,33.2903,0.0433,0,2021-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,133.7492,0.1916,6.4578,0.1641,0,29.7824,0,0,2021-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,194.4226,0.6893,5.1735,0.1300,0,19.4842,0,0,2021-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,69.6792,2.1927,13.4299,0.0779,0,11.2807,0,0.0258,2021-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,126.2918,6.3899,29.5916,0.1738,0,9.8367,0,0,2021-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,79.3898,8.0787,23.3687,0.1494,0,5.4548,0.0609,0,2021-08-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,26.6448,8.1100,15.5624,0.1470,0,2.6819,0,0,2021-09-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.0437,15.3620,5.6464,14.7008,0.3204,0,1.0887,0,0,2021-10-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.0262,10.9157,3.1598,11.3888,0.7001,0,0.8402,0,0,2021-11-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,14.8550,0.7451,8.6917,0.4105,0,2.4226,0,0,2021-12-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,17.8939,0.5347,8.5377,0.0694,0,3.8973,0,0.0087,2022-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,14.0287,0.3501,21.1183,0.5990,0,2.8669,0,0,2022-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,18.5091,1.0662,25.0094,0.1485,0,3.9077,0,0,2022-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,50.3002,2.4016,18.0672,0.1902,0,7.3407,0,0,2022-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,99.8779,5.2004,30.2109,0.2869,0,7.5678,0.0174,0,2022-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,32.8131,3.0972,22.9839,0.1482,0,2.6337,0,0.0261,2022-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,17.4752,3.0495,21.5270,0.1476,0,1.9998,0.0965,0.0262,2022-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,4.8536,12.4528,53.3186,0.5402,0,1.6111,0.3071,0.3938,2022-08-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,3.3026,15.9978,192.0029,1.3416,0,0.9112,1.2543,0.1403,2022-09-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.1047,2.0019,4.3698,125.9347,2.3132,0,0.5854,3.6849,0.3318,2022-10-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.0610,2.9974,8.5209,80.9455,1.0645,0,2.5165,1.0765,0.7525,2022-11-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.0088,1.9483,1.3939,96.4441,0.6804,0,2.1323,4.0712,0.8145,2022-12-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.0174,1.7898,0.7850,48.7685,1.3046,0,1.7967,2.5996,2.7645,2023-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,1.3945,0.5964,18.7671,0.3685,0,1.4589,2.6540,3.3931,2023-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,1.7768,0.6381,57.2951,1.8948,0,2.4386,3.1365,0.3506,2023-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,6.9415,0.8813,66.6817,1.9325,0,4.9607,2.1071,1.6763,2023-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,1.1144,0.7512,88.7797,1.5243,0,1.9056,2.7126,0.8924,2023-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,0.8284,3.9214,141.7719,4.1326,0,2.9284,6.0581,3.3138,2023-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,0.6895,16.1538,2517.8587,36.3604,0,3.2466,2.0344,2.2814,2023-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,8.6241,0.1219,19.8790,3559.3633,49.3261,0,9.0603,24.2637,3.2734,2023-08-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,64.5970,0.2632,8.3244,1945.8819,20.1188,0,30.5208,7.4848,1.7438,2023-09-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,33.9930,1.0062,2.2949,293.1426,5.9913,0,10.6725,24.8058,3.3052,2023-10-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4.1639,0.3681,0.8961,884.2709,33.9372,0,3.2845,26.5223,7.7917,2023-11-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,12.1103,0.3147,2.1987,473.4946,10.5512,0,6.7555,46.5306,29.6949,2023-12-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,6.5342,0.0612,0.5633,89.3784,4.6902,0,15.0947,52.9574,589.6358,2024-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,13.9920,0.0173,1.3541,41.4389,1.4590,0,31.2323,1.3343,205.5576,2024-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2.2736,0.1128,15.9949,47.8079,2.1752,0,179.5916,1.6311,136.3224,2024-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.2695,0.3769,11.0121,73.4353,4.1158,0,531.4044,4.3975,257.5511,2024-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.3439,0.1652,3.5121,245.6330,23.2915,0,136.2465,49.0167,172.9343,2024-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.0087,0.0957,4.0956,417.1723,40.6723,0,20.3617,63.0242,251.3583,2024-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,3.0734,0.0349,6.7216,218.4154,33.9370,0,13.4829,12.7784,51.5165,2024-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,55.0334,0.0352,46.7808,161.1390,117.2279,0,8.6115,7.2231,35.9948,2024-08-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,166.7724,0.1826,59.0993,109.7402,328.4448,0,4.7045,3.2283,19.9212,2024-09-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,49.9128,0,7.7829,14.2311,70.9240,0,17.7766,2.1230,0.2752,2024-10-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
