system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0.0447,35.0649,6.4880,5.6192,0,571.2619,0,0,0,2020-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,18.7964,0.8266,0.6057,0,0.0178,0,0,0,2020-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,25.8591,0.9489,1.4199,0,0,1.7683,0,0,2020-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,25.3288,0.7668,3.1119,0,121.0572,0.4826,0,0,2020-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,16.1602,0.8114,6.8265,0.0806,0,0.1076,0,0,2020-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0.9617,0.0814,6.9106,0.2252,0,0.1526,0,0,2020-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.2085,2.1809,0.1169,13.3528,0.2156,0,0.4032,0,0,2020-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.0544,0.9133,0.0543,17.9746,0.1072,0,0.6077,0,0,2020-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,1.8998,0.1174,9.6048,0.0089,0,0.8471,0,0,2020-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,2.0063,0.9353,4.8613,0.0090,0,1.7820,0,0,2020-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,1.0819,0.4778,3.7180,0.0356,0,1.2312,0,0,2020-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0.7473,0.0089,6.0199,0.3224,0,0.2863,0,0,2020-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.8811,0.0447,4.4734,0.4473,0,0.4574,0,0,2021-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,1.3093,0.1878,39.0984,0.7567,0,2.4433,0,0,2021-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,13.7993,1.3090,65.9823,0.3833,0,3.4035,0,0,2021-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,17.7787,4.1722,4.4901,0.1247,0,9.5113,0,0,2021-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,29.2854,2.1091,2.5078,0.0989,0,2.8704,0,0,2021-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,22.1389,3.0301,25.2032,0.5215,0,1.3634,0,0,2021-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,12.5976,4.0844,62.0303,0.8922,0,0.8989,0,0,2021-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,15.3445,5.6670,19.6183,0.1699,0,1.2801,0,0,2021-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,7.3424,16.6646,10.3419,0.0892,0,0.3843,0.0711,0,2021-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,4.1325,9.3885,9.6833,0.2349,0,0.2419,0.0800,0,2021-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,1.1794,3.6769,13.8041,0.2861,0,0.3307,0.0623,0,2021-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,5.2306,0.7707,8.6940,0.0988,0,0.7334,0.1155,0,2021-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,2.7239,1.3415,8.6715,0.4044,0,2.5757,0,0.0444,2022-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,16.1119,0.5195,14.2400,0.4011,0,2.9182,0,0.0628,2022-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,15.8265,1.6909,13.6918,0.2322,0,7.4607,0,0.0090,2022-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,26.3432,1.4251,13.9843,0.2061,0,4.5692,0,0,2022-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,31.1380,4.2685,18.4635,0.4479,0,6.2545,0,0,2022-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,3.8833,2.7503,11.6807,0.3306,0,0.6659,0,0,2022-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,3.9350,3.8884,67.5519,2.3858,0,0.3795,0,0.3055,2022-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,0.2793,12.9229,1021.4137,7.2655,0,0.1708,0,1.2513,2022-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.0178,0.3102,21.0354,3046.3165,23.5437,0,0.1074,0,1.5371,2022-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,0.0802,13.6567,1446.1000,7.3081,0,0.0091,0.1819,0.4673,2022-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,0.0362,10.2314,563.7438,4.7331,0,0.3254,0,1.2718,2022-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,0.0362,1.4331,25.8778,0.2627,0,2.7501,0,0,2022-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.0089,0.0816,0.5810,26.5073,0.1171,0,4.9425,0,0.3120,2023-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.0979,0.5447,0.4757,8.3434,0.4296,0,9.5262,0.0179,0.3116,2023-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,0.3816,1.7829,14.2152,0.4312,0,0.8412,0,0.2624,2023-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,0.4444,7.3569,3.2973,0.8612,0,4.2631,0,0.8127,2023-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.0089,1.1265,12.4496,4.5874,0.8177,0,18.5925,0,0.0454,2023-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.0534,0.5080,15.6594,4.6843,0.5075,0,8.4965,0,0.2232,2023-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.1163,0.0450,7.3222,10.5057,8.4835,0,1.8489,0.0178,3.2222,2023-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.4812,0,3.8895,54.8198,13.6620,0,5.7076,0.1156,6.4360,2023-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,1.4062,0.2813,4.1267,61.0772,2.8749,0,21.2196,0.1155,4.2204,2023-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.2760,4.7067,4.8756,2.8517,0.0270,0,44.7250,0,0.5991,2023-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.2053,1.5891,1.6304,4.4291,0.6688,0,33.8826,0,1.3731,2023-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.0091,9.0108,0.4156,0.4670,0.3770,0,35.5248,0,0.1866,2023-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.0270,0,0.4219,1.5917,0.5070,0,2.7916,0.2264,0.7560,2024-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.1878,0.0814,1.4772,1.3477,11.1278,0,5.6982,0,1.6597,2024-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,1.6170,0.0272,14.4357,0.7940,6.5207,0,14.5376,0,0.3140,2024-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.0091,0.0722,1.9345,9.0680,5.7052,0,11.8304,0,0.1875,2024-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.1423,0.0091,3.2771,4.5995,8.3201,0,3.2574,0,0.5205,2024-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.3203,0.1087,0.3049,0.3650,6.2300,0,7.4961,0,0.1811,2024-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.9435,0.1265,0.1719,0.5428,4.1427,0,2.4364,0,0.2681,2024-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
