system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0.0462,0.9314,1.3290,0,0,11.3446,0,0,0,2020-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0.4992,3.5968,0,0,0,0,0,0,2020-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,0.4255,2.1575,0,0,0,0,0,0,2020-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,0,1.4112,0.0645,0,65.5184,0,0,0,2020-04-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,0.0924,3.7177,0.0370,0,0,0,0,0,2020-05-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0,0.1475,0.0092,0,0,0,0,0,2020-06-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,0.4610,0.3873,0.4162,0,0,0,0,0,2020-07-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,0.5077,0.2309,0.0554,0,0,0,0,0,2020-08-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,0.3045,0.2862,0.0830,0,0,0,0,0,2020-09-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,0.1569,0.0554,0.0462,0,0,0.0093,0,0,2020-10-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,0.1291,0,0.0278,0,0,0,0,0,2020-11-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0,0,0.0554,0,0,0,0,0,2020-12-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.1844,0,0.1848,0,0,0.0093,0,0,2021-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,0,0.2216,0.3878,0,0,0.0093,0,0,2021-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,0.0923,1.0055,0.1478,0,0,0.0463,0,0,2021-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,1.6609,1.2182,0.0277,0,0,0.1386,0,0,2021-04-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,0.7102,1.4862,0,0,0,0,0,0,2021-05-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,0.2585,2.7976,0.0739,0,0,0,0,0,2021-06-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,0.0831,3.3708,0.1478,0,0,0.0093,0,0,2021-07-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,0.4064,2.6865,0.2217,0,0,0,0,0,2021-08-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,0.2863,2.5943,0.0739,0,0,0.0370,0,0,2021-09-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,0.1752,2.6319,0.2121,0,0,0,0,0,2021-10-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,0.0093,0.6927,0.0553,0,0,0,0,0,2021-11-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,0,0.3048,0.5531,0,0,0,0,0,2021-12-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,0.0462,0.1663,0.2772,0,0,0.0554,0,0,2022-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,0,0.1848,0.0645,0,0,0,0,0,2022-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,0.0832,0.0462,0.0461,0,0,0,0,0,2022-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,0.2035,0,1.1711,0,0,0.0277,0,0,2022-04-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,0.2865,0.0277,0.1753,0,0,0.0185,0,0,2022-05-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
