system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0.4075,250.2609,0,700.0075,0,370.1397,0,0.0165,0,2020-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.0637,36.7262,0.0249,151.5329,0,0,0,0.4400,0,2020-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,71.3977,0.1166,211.6187,0,0,74.9049,0.0246,0.0164,2020-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.0656,70.3264,0.1749,167.8907,0,0.5499,96.4124,0.5822,0,2020-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.0164,90.8153,0,107.5053,5.6783,0,61.3393,0.8209,0.6046,2020-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,389.4469,0,27.5863,2.4571,0,289.3182,0.2501,1.4927,2020-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,231.5687,0,17.6931,2.3826,0,208.7422,0.0084,0.4050,2020-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,170.8094,0,40.6551,6.1780,0,61.6288,0.0749,0.5803,2020-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.0166,108.5479,0.0083,68.6440,19.0274,0,37.4015,1.1643,0.2025,2020-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.2383,102.0477,0.0166,70.7035,20.0232,0,48.5148,0.0169,0,2020-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.9771,57.8703,0,142.3346,26.5732,0,61.5556,0,0,2020-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.6411,13.5738,0,167.6233,42.6303,0,11.8622,0,0,2020-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,6.8096,6.6969,0,301.4916,91.6540,0,12.0487,0.2086,0,2021-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.1053,4.1913,0,281.1059,106.5323,0,33.5735,5.4692,0.2023,2021-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.5162,8.9939,0,371.4488,135.5643,0,63.4602,41.5696,10.9143,2021-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
