system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0.0796,235.2319,0,325.7328,0,393.5218,0,0,0,2020-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.2458,37.4936,0,124.2002,0,0,0,0,0,2020-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,83.4777,0,73.6893,0,0,35.9455,0,0,2020-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,49.0446,0,56.4364,0,0,45.3293,0,0,2020-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,286.7268,0,24.4000,0.6690,0,128.0569,0,0,2020-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,353.9126,0,7.8958,0.6353,0,130.2722,0,0,2020-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,268.7127,0,5.8459,0.2527,0,62.5428,0,0,2020-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,233.9099,0,5.1076,0.4913,0,57.6523,0,0,2020-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.0160,27.6321,0,12.6103,0.9516,0,6.3942,0,0,2020-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,31.5252,0,40.1838,5.3090,0,7.8872,0,0,2020-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.0316,5.9789,0,125.7987,11.1334,0,2.4265,0,0,2020-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.0158,3.3954,0,152.2225,26.2893,0,4.7086,0,0,2020-12-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.0321,27.6422,0,55.0287,12.0817,0,76.0933,0,0,2021-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.0159,7.4804,0,68.9987,28.3654,0,66.0234,0,0,2021-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,18.3144,0,63.8969,25.8917,0,63.7017,0,0,2021-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,3.4217,0,40.8908,15.1506,0,59.0264,0,0,2021-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,62.1865,0,10.8741,7.2915,0,94.8107,0,0,2021-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,145.1980,0,7.2740,5.5600,0,99.6274,0,0,2021-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,48.5011,0,16.9181,5.4786,0,25.6296,0,0.0079,2021-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,25.3894,0,121.0221,30.2630,0,15.9586,0,0.0316,2021-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,2.8237,0,2011.4031,252.2392,0,3.3674,0,0.0158,2021-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.1265,1.1703,0,1545.2944,105.8958,0,1.6146,0,0,2021-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,0.0397,0,1064.3659,60.9385,0,2.5609,0.0315,0,2021-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.0079,0.0080,0,684.4637,33.6086,0,10.2011,0.0867,0.3542,2021-12-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.0788,0.0560,0,291.7447,20.2739,0,34.8909,0,1.1679,2022-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.0159,0,0,106.1002,18.8108,0,50.5385,0,0.0394,2022-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,0.0950,0,25.0360,16.4862,0,70.7714,0.0158,1.6092,2022-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.0236,0.6070,0,31.2070,18.5139,0,924.5795,0.1419,1.8691,2022-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,3.5821,0,23.7870,13.5091,0,466.5852,0.5441,22.1077,2022-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,1.8281,0,41.2771,40.0880,0,238.8978,0.8159,42.6857,2022-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,0.2218,0,41.0925,140.7126,0,96.7996,0.5953,2.4535,2022-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,0.5580,0,56.3680,670.7734,0,15.6413,0.6282,1.6876,2022-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,0.0160,0,115.3375,856.7283,0,5.2443,0.3080,3.7069,2022-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.0159,0,0,75.1659,127.8681,0,13.2655,0.0874,1.9595,2022-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
