system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,10.1073,115.2470,0,176.3159,0,79.6562,0,0,0,2020-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.0422,44.1336,0,37.3691,0,0,0,0,0,2020-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.7477,239.9596,0,22.4979,0,0,42.1583,0,0,2020-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,210.6460,0,13.9472,0,0.1196,46.3064,0,0,2020-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.0425,170.7114,0,42.7044,3.9645,0,19.1477,0.0513,0,2020-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.3736,255.9155,0,26.8485,2.0389,0,36.0894,0,0,2020-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.0255,209.0316,0,18.3321,0.4160,0,45.8245,0,0,2020-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,69.8275,0,29.4551,3.2501,0,16.2648,0.0255,0,2020-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.0511,16.3223,0,28.0270,2.7210,0,3.8406,0.0255,0,2020-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.2726,3.9127,0,76.7581,3.4601,0,4.9070,0,0,2020-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.3661,13.5258,0,158.6317,21.0410,0,7.2768,0.1019,0,2020-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.6671,3.4406,0,110.6873,7.9344,0,8.1537,0.6878,0,2020-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.8867,0.7677,0,90.7584,12.3077,0,15.0500,1.6049,0,2021-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.3862,0.5273,0,162.5646,30.5948,0,3.4008,0.0170,0,2021-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.0679,1.8414,0,45.3776,7.4193,0,28.8585,0,0,2021-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,16.0103,0,4.1062,0.5186,0,326.6614,0,0,2021-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.0767,80.1796,0,2.1247,1.2673,0,267.5119,0,0,2021-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,51.9756,0,1.0623,0.3151,0,40.4656,0,0.0339,2021-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.3749,42.2763,0,8.4163,2.5514,0,26.9578,0,0,2021-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.5713,21.4334,0,13.6729,9.7619,0,7.4458,0,0,2021-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.4818,8.2724,0,8.9903,8.5608,0,3.7095,0,0,2021-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.6459,2.0373,0,34.2306,79.4409,0,2.8254,0.0255,0,2021-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.3059,0.3310,0,45.5577,155.9788,0,0.2887,0.0085,0,2021-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2.2044,0.1273,0,23.1772,31.4484,0,0.5108,0.0085,0.0170,2021-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,5.6995,0.2379,0,33.4769,75.4811,0,1.9087,0.4331,0.0085,2022-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,32.1202,0.0512,0,45.1531,38.1030,0,1.4674,0.0595,0,2022-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,1.9558,0.9870,0,11.9929,5.6396,0,15.3850,0.4500,0.0934,2022-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.0256,13.0779,0,1.1317,0.3659,0,107.1471,0.1953,0.0594,2022-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.1536,49.6561,0,4.4407,0.2210,0,72.0011,0.1189,0,2022-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.0342,15.6294,0,3.3774,0.6373,0,25.0115,0,0,2022-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.2136,2.6352,0,1.7611,1.6497,0,13.5914,0.0255,0,2022-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.5263,0.4759,0,7.4633,7.4730,0,2.8826,0.0085,0.0085,2022-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2.2362,0.3480,0,10.9318,7.9197,0,1.3624,0,0,2022-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.6378,0.0085,0,6.3755,9.4734,0,1.0313,0,0,2022-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,16.0809,0.0171,0,9.2220,10.1111,0,1.1221,5.4994,0,2022-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,19.9769,0.0340,0,6.1229,14.2399,0,1.4719,0.0340,0,2022-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,105.1529,0,0,17.9928,25.4471,0,0.4080,0,0,2023-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,25.6822,0,0,10.8280,10.3989,0,0.6631,0,0.0255,2023-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,9.4503,0.1018,0,19.7990,5.2211,0,11.9891,0.0340,0.0085,2023-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,1.9489,0.7410,0,15.0695,4.7890,0,8.6565,0,0.0085,2023-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,7.7424,0.3922,0,43.1774,16.7327,0,2.8004,0.0170,0,2023-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.5630,1.2168,0,83.8911,13.2947,0,5.9363,0.0509,0.0085,2023-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.1704,0.1952,0,53.3711,3.1427,0,3.8407,0,0,2023-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,1.1545,0.0427,0,71.6337,10.8465,0,3.1122,0,0.0255,2023-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,249.8227,0.0768,0,95.2439,11.3446,0,1.9296,0,0,2023-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,56.5565,0.0341,0,16.7105,4.4324,0,2.8506,0,0,2023-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,19.0388,0.0595,0,27.9026,7.1731,0,1.1897,0,0,2023-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,19.5803,0,0,13.0407,3.7442,0,0.8527,0,0,2023-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
