system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0,152.2186,0.1078,217.0926,0,717.2300,0,0,0,2020-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,44.8732,0.1076,46.8635,0,0.4446,0,0,0,2020-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,51.7473,1.0210,54.1735,0,0,57.8020,0,0,2020-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,63.9164,0.2243,19.8999,0,77.9146,71.7977,0,0,2020-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,54.8983,0.0629,19.2389,0.4313,0,45.1067,0,0,2020-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,18.8708,0,18.7691,0.8290,0,10.0555,0,0,2020-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,7.4430,0.0091,24.9331,3.2342,0,6.9778,0,0,2020-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,6.2816,0.0089,24.0287,3.4873,0,8.0495,0,0,2020-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,10.1211,0.0091,23.0415,3.0358,0,9.5945,0,0,2020-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,5.5719,0.0089,78.2996,6.9385,0,11.6393,0.0267,0,2020-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,4.0708,0.0359,85.5757,16.7066,0,8.7724,0.0178,0.0178,2020-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,3.6957,0,35.8643,6.1742,0,37.9377,0,0,2020-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,4.1546,0,24.5712,6.7868,0,48.7677,0,0,2021-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,4.1471,0,52.9865,12.9357,0,18.8589,0,0,2021-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,9.2045,0,34.4985,11.3625,0,41.9935,0,0,2021-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,7.6851,0,26.8897,9.3596,0,45.0441,0,0,2021-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,11.3818,0,29.3307,3.1343,0,37.1776,0,0,2021-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,2.3599,0,55.9863,6.9345,0,15.6643,0,0,2021-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,2.5747,0.0090,55.6142,5.9819,0,10.0469,0,0,2021-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,2.4949,0,27.2491,6.0121,0,16.5051,0,0,2021-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,1.5133,0.0269,14.1497,4.4940,0,13.0766,0.0977,0,2021-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,2.5688,0.0358,26.9797,13.2159,0,9.0984,0.3110,0,2021-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.0179,1.0452,0,85.6669,51.7272,0,3.4538,0.0179,0,2021-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,1.5449,0,13.6941,7.5144,0,8.5350,0,0,2021-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,1.4819,0.0449,44.1483,16.1146,0,19.5124,0.0713,0,2022-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
