system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0,1.4044,0.2307,7.2426,0,14.4957,0,0,0,2020-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0.0830,0.2308,12.6625,0,0,0,0,0,2020-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,0.0739,0.2123,0.9891,0,0,0.5170,0,0,2020-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,0.6084,0.1293,0.3510,0,19.4951,12.4133,0,0,2020-04-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,0.7561,0.0554,0.2583,0.0092,0,0.9976,0,0,2020-05-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0.0738,0.0092,0.2400,0.2028,0,0.4429,0,0,2020-06-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,0.0462,0,1.0614,0.2401,0,0.3881,0,0,2020-07-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,0.0462,0,0.3227,0.1383,0,0.5904,0,0,2020-08-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,0.0462,0.0092,0.2306,0.1291,0,1.3300,0,0,2020-09-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,0.1107,0.0092,0.1199,0.0092,0,0.5172,0,0,2020-10-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,1.1064,0.0092,0.0738,0.0277,0,0.8575,0,0,2020-11-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0.0369,0,0.0555,0.0369,0,0.1937,0,0,2020-12-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.1198,0,0.4713,0.5452,0,0.1292,0,0,2021-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,0.1201,0,1.4125,3.8929,0,0.0369,0,0,2021-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,0.0737,0,0.2862,0.2586,0,0.1569,0,0,2021-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,0.2305,0,0.1480,0.0647,0,1.8451,0,0,2021-04-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,0.0277,0.0092,0.1017,0.1111,0,0.1017,0,0,2021-05-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,0.1014,0,0.3504,0.6086,0,0.0738,0,0,2021-06-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,0.0830,0,0.2309,0.1383,0,0.3047,0,0,2021-07-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,0.0463,0,0.4890,0.2581,0,0.1937,0,0,2021-08-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,0.2033,0.0369,0.0832,0.2774,0,0.2492,0,0,2021-09-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,0.1199,0,0.2400,0.2582,0,0.5072,0,0,2021-10-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,0.0832,0,0.1475,0.2213,0,0.2035,0,0,2021-11-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,0,0,1.0694,0.8854,0,0,0,0,2021-12-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,0,0.0185,1.9464,1.1080,0,0.0647,0.0647,0,2022-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,0,0,0.3323,0.1200,0,0.1567,0.1571,0,2022-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,0,0,0.2306,0.2306,0,0.3604,0,0,2022-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,0,0,1.8348,1.9636,0,0.2585,0,0,2022-04-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,0.1847,0,1.0785,0.3319,0,0.1755,0.0185,0,2022-05-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,0.0463,0,0.0185,0,0,1.3189,0.0092,0,2022-06-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,0,0,0.0461,0.0461,0,1.8437,0,0,2022-07-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,0,0,0.1661,0.1753,0,0.0553,0,0,2022-08-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,0,0,0.0738,0.5348,0,0.2212,0,0,2022-09-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,0,0,0.0369,0.4243,0,0.1568,0.0092,0,2022-10-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,0,0,0.0645,0.1014,0,0.1844,0.0554,0,2022-11-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,0,0,0.0092,0.1109,0,0.1198,0,0,2022-12-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,0,0,0.3601,0.3872,0,0,0,0,2023-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,0,0,1.0343,0.3689,0,0.0277,0,0,2023-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,0,0,0.1940,0.0554,0,0.2950,0.5082,0,2023-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,0,0,0.0092,0.0461,0,0.3972,0.0277,0,2023-04-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,0,0,0.1570,0,0,0.0924,0,0,2023-05-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,0,0,0.3326,0.0647,0,0.1659,0,0,2023-06-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,0,0,1.1292,0.3236,0,0.0922,0,0,2023-07-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,0,0,0.5635,0.3134,0,0.1848,0,0,2023-08-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,0,0,0.0184,0.0461,0,0.5831,0,0,2023-09-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,0,0.0185,3.7793,0.1386,0,0.4339,0,0,2023-10-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,0,0.0369,0.1108,0.0738,0,0.0462,0,0,2023-11-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0,0,0,0.5360,0.5359,0,0.0277,0,0,2023-12-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,0,0,0.7113,0.6839,0,0.0184,0,0,2024-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,0,0,1.2550,0.5724,0,0,0,0.1294,2024-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,0,0,2.9690,1.7055,0,0.0924,0,0.0277,2024-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0,0,0,0.5999,0.0738,0,0.3694,0.1754,0,2024-04-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,0,0,0.1846,0,0,0.3785,0.0092,0,2024-05-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0,0,0,0.0185,0.0093,0,0.2121,0,0,2024-06-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0,0,0,0.0739,0,0,2.6110,0,0,2024-07-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0,0,0,0.1662,0.0369,0,1.1180,0,0,2024-08-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0,0,0,0.1385,0.1294,0,1.8473,0,0,2024-09-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0,0,0.0092,0.1016,0.0831,0,0.6372,0,0,2024-10-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0,0,0.0185,0.3322,0.4798,0,0.1480,0,0,2024-11-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0,0,0,0,0,118.8900,0,0,0,2024-12-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
