system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0,9.5696,0,35.0704,0,13.9905,0,0,0,2020-01-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,11.1221,0,8.2440,0,0,0,0,0,2020-02-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,6.2927,0,8.4042,0,0,8.2046,0,0,2020-03-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,1.7872,0,15.0470,0,0,2.9346,0,0,2020-04-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,2.9742,0,9.2928,0.3196,0,4.8596,0,0,2020-05-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,10.7835,0,3.1529,0.1555,0,20.5695,0,0,2020-06-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,16.6257,0,1.8731,0.1783,0,9.0740,0,0,2020-07-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,19.4340,0,1.7738,0.6617,0,5.5567,0,0,2020-08-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,3.0914,0,3.2764,0.6844,0,1.2750,0,0,2020-09-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,2.5926,0,8.1427,3.1336,0,1.7097,0.0155,0,2020-10-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,2.5835,0,10.9950,3.0184,0,2.1127,0,0,2020-11-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,1.5469,0,19.3667,5.2518,0,2.5398,0,0,2020-12-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.9098,0,8.2246,3.5550,0,4.3009,0,0,2021-01-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,1.0896,0,8.2493,3.2869,0,9.3396,0,0,2021-02-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,0.6519,0,2.5760,2.3484,0,6.8076,0,0,2021-03-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,1.0575,0,9.0200,8.5749,0,2.4566,0,0,2021-04-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,3.0891,0,4.9484,5.0267,0,12.5902,0,0,2021-05-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,8.2838,0,2.2037,2.0100,0,8.5684,0,0,2021-06-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,13.6113,0,1.0964,0.5978,0,6.4722,0,0,2021-07-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,48.8499,0,1.3852,0.4579,0,21.9252,0,0,2021-08-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,13.2733,0,0.5992,0.5212,0,3.4102,0,0,2021-09-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,0.8093,0,2.0739,2.5806,0,0.2950,0,0,2021-10-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,1.7405,0,9.7399,4.2405,0,0.5208,0,0,2021-11-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,1.2885,0,20.0467,10.1832,0,0.7468,0,0,2021-12-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,0.4034,0,4.2209,1.6999,0,0.6992,0,0,2022-01-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,0.3256,0,4.9093,6.4745,0,5.7104,0,0,2022-02-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
