system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,8.5177,165.5297,0.0521,941.5495,0,932.6246,0,0.2337,0,2020-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.4656,101.7503,0.3153,311.7785,0,2.7489,0,0.1226,0,2020-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.3655,171.3876,1.2967,217.5910,0,0,253.6447,0.0432,0,2020-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.3412,302.7927,0.4904,89.0221,0,50.0430,355.7832,0.0604,0,2020-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,356.8902,0.1486,47.7626,2.3472,0,284.6312,0.0260,0,2020-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.2017,209.4984,0.0962,72.9425,6.9776,0,133.8599,1.1126,0.1640,2020-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.8240,179.0721,0.3168,137.8306,15.7590,0,79.8269,0.0529,0.0260,2020-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.0957,70.6462,0.0265,295.2759,41.8911,0,49.7532,0.2781,0,2020-08-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.3330,60.7923,0.5382,115.2912,20.0209,0,55.1931,0.4740,0.0258,2020-09-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.2715,28.9829,0.0441,299.4173,50.6159,0,47.1623,0.1217,0,2020-10-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.3178,10.0879,0,1189.7039,180.4448,0,21.4022,1.5647,0.0087,2020-11-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.6100,5.3661,0,161.7115,74.2750,0,47.5037,0.0433,0,2020-12-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.7829,24.3853,0,159.3353,40.1601,0,1079.8992,0,0.0261,2021-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.1557,5.6523,0,87.2532,52.1482,0,71.9389,0.0174,0.0783,2021-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.1491,57.2618,0,34.0719,36.4832,0,307.8794,0.0782,0.0174,2021-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.0088,75.4191,0.0177,28.4198,16.4281,0,276.8765,0,0,2021-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,159.5343,0.0261,17.4120,23.9908,0,226.6733,0.0174,0.0261,2021-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
