system:index,Bio Sub,Chemical control,Invasion,Mowing 1st,Mowing 2nd,No change,Recurring,Waterlogging,Waterlogging 2,date,region,.geo
0,0.4983,0,1.2018,37.9758,0,1080.4501,0,0,0,2020-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.5801,0,0.9275,51.3436,0,8.1272,0,0,0,2020-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.7642,0,2.7433,1.9874,0,0,0.8855,0,0,2020-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.4511,0,0.8327,2.5792,0,792.5377,14.8139,0,0,2020-04-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.5710,0.0277,2.4422,1.3813,0,0,16.8026,0,0,2020-05-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.1290,0,22.4238,1.2217,0,0,22.0664,0,0,2020-06-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.4146,0,39.8992,2.3669,0.0091,0,9.6558,0,0,2020-07-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.8655,0,2.7489,0.8835,0.0731,0,0.6078,0,0.0092,2020-08-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.4517,0,2.9997,12.7173,2.1547,0,0.2666,0,0,2020-09-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.2393,0,1.2066,12.6394,0.4016,0,0.1107,0,0.4058,2020-10-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.1379,0,1.2664,4.6411,0.2920,0,0.4658,0.0092,0,2020-11-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.0276,0,0.1652,5.3395,0.3011,0,0.4842,0,0,2020-12-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.0184,0,0.0922,7.6898,2.1447,0,0,0,0,2021-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.1193,0,0.2213,16.4466,14.6795,0,0.0092,0,0,2021-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.1378,0,0.8299,12.0828,9.0813,0,0.0092,0,0,2021-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
