system:index,Bio Sub,Chemical control,Invasion,Mowing 1st,Mowing 2nd,No change,Recurring,Waterlogging,Waterlogging 2,date,region,.geo
0,7.3806,10.5339,147.8176,118.2465,0,17189.4191,0,0,19.6445,2020-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.6723,0.2960,140.2633,20.0055,0,811.0966,0,0,0.0957,2020-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.3188,0.0614,263.4128,19.1485,0,1.9568,38.5881,0,0.0088,2020-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.6947,0.0265,194.1858,40.4499,0,197.9080,7.0750,0,0.1045,2020-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.2361,0.0258,274.7929,21.7154,0.4815,0,19.3933,0,0.4472,2020-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.7324,1.3529,420.2311,31.6040,0.7836,0,25.5501,0,1.0900,2020-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.2424,14.8474,431.0657,76.0526,0.7757,0,9.7775,0,0.1838,2020-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.8784,4.6029,55.5347,311.7145,2.5786,0,2.1690,0,0.2613,2020-08-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.7563,1.0888,19.2561,180.5297,0.6045,0,0.8005,0,0.6284,2020-09-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.2937,0.4162,23.2846,132.9960,0.6722,0,2.8521,0,1.6776,2020-10-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.3592,0.1388,21.0169,143.0128,1.2018,0,19.3220,0.3009,1.3409,2020-11-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.4987,0.1124,8.4878,97.6021,1.1823,0,6.9941,0.0688,1.2487,2020-12-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.5420,0,7.8045,174.6558,5.4011,0,4.2056,0.1720,1.8957,2021-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.4203,0,5.5404,294.0011,3.6872,0,6.9589,0.0258,5.7631,2021-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.1076,0.4637,42.2258,160.0700,2.5073,0,33.2219,0.1204,2.0617,2021-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.4356,3.2440,153.6867,83.0127,0.8583,0,182.8613,0.0432,1.5630,2021-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.0896,0.5665,344.8229,70.2747,1.0197,0,236.6586,0,2.0022,2021-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.1402,0.7323,199.2031,93.5355,1.7345,0,142.9457,0.1053,4.8966,2021-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,6.1023,0.5940,289.3313,173.2117,8.5390,0,71.5179,0.0088,0.1294,2021-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,7.6961,0.0614,228.5142,156.8262,19.2257,0,18.5301,0.0614,0,2021-08-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,7.5668,0.0264,67.5957,147.2532,53.2207,0,16.6289,0.1735,0,2021-09-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.9253,0.0088,36.6169,154.6496,8.9504,0,13.1293,0.8066,0.1140,2021-10-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.9313,0,19.0360,92.3565,5.6791,0,9.1794,0.1050,0.1825,2021-11-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1.2398,0,37.8534,107.3576,1.2509,0,63.1953,0.1928,0.0174,2021-12-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1.3059,0.1316,50.5877,30.7122,0.4710,0,52.0079,4.6914,0.0783,2022-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1.5204,0.2003,20.5468,91.9356,2.3686,0,26.4896,2.0609,0.6270,2022-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
