system:index,Bio Sub,Chemical control,Invasion,Mowing 1st,Mowing 2nd,No change,Recurring,Waterlogging,Waterlogging 2,date,region,.geo
0,8.5439,0.1249,30.2258,14.5809,0,20870.1543,0,0,0.0178,2020-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6.2000,0,27.3380,6.2308,0,0,0,0,0,2020-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.9448,0,63.0772,24.0677,0,0,3.3234,0,0,2020-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.1092,0,23.3323,11.7015,0,634.0281,0.8836,0,0,2020-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.2056,0,15.2753,7.2332,0.1337,0,1.2730,0,0,2020-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.1342,0.1603,5.4656,11.6421,0.0089,0,1.0824,0,0,2020-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.0717,0,15.8369,47.5827,0.4866,0,0.6348,0,0.0267,2020-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.5702,0,12.4929,66.2219,0.9887,0,0.1169,0,0,2020-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.4402,0,6.1093,21.7278,0.2935,0,0.4760,0,0.0089,2020-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.2611,0,11.5695,14.2842,0.1267,0,8.3580,0,0,2020-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.0985,0.0178,18.5212,14.4198,0.1355,0,6.7916,0,0,2020-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.2062,0,9.3696,16.4406,0.5086,0,2.7002,0,0,2020-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.1621,0,3.1903,20.2317,1.4478,0,1.0541,0,0.0178,2021-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.0541,0,3.9134,196.4760,2.7734,0,2.1954,0,0,2021-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.1159,0,16.8483,149.2766,1.0521,0,5.0495,0,0,2021-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.6977,0,21.1614,40.1660,0.4100,0,8.7163,0,0,2021-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.0715,0,35.0191,11.7781,0.3571,0,9.4374,0,0,2021-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.2249,0,27.1269,62.9591,1.0865,0,4.0126,0,0,2021-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4.4515,0,15.5469,76.1858,1.1286,0,2.8462,0,0,2021-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,8.9293,0,25.6075,45.2756,1.0061,0,3.5246,0.0357,0,2021-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,11.8887,0.0356,27.9003,22.1471,1.4692,0,4.3754,0.2407,0,2021-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.6947,0.1259,13.3257,10.3674,0.8990,0,2.6449,0.9686,0.5242,2021-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.5131,0,4.0199,9.8676,0.4216,0,7.9026,0.0089,0.0808,2021-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.2780,0,26.1392,12.0337,0.6772,0,1.3475,0,0,2021-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1.8808,0,13.8117,11.0005,0.1876,0,3.3344,0.0267,0,2022-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1.3424,0,59.5262,14.3209,0.2495,0,13.3026,0,0,2022-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,3.7944,0,72.5847,8.6678,0.0889,0,8.6913,0,0,2022-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1.4011,0,35.0199,14.4922,0.1694,0,7.5086,0,0,2022-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,4.4256,0,30.1316,49.5374,3.4868,0,5.1299,0,0,2022-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,11.2732,0,11.4032,49.7725,8.3757,0,1.0107,0,0,2022-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,8.3694,0,3.4606,110.3415,2.1152,0,0.5760,0,0.0533,2022-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,7.2185,0,1.7748,1035.5921,7.8061,0,0.0801,0.5697,0.0800,2022-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,24.3206,0.0634,1.2545,3292.6022,19.8503,0,0.4504,0.7177,0.3185,2022-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,43.8168,0.3687,6.2305,1863.7861,13.1093,0,0.6898,1.4180,0,2022-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,17.4184,0.0358,5.4728,1019.5526,12.3696,0,1.0979,2.9293,0,2022-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,15.2801,0.6846,4.2238,86.3546,1.3319,0,8.9498,0,0,2022-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,6.2252,0.0978,1.2788,31.5476,0.3601,0,12.8988,0.2759,0.3289,2023-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3.5360,0,1.4158,25.4396,1.7522,0,10.3996,0.2046,0.1955,2023-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3.6668,0,0.5672,42.4962,6.7500,0,2.4181,0.1958,0,2023-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,18.2689,0,1.7028,7.0960,1.7571,0,15.7799,0.2910,0.1546,2023-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,12.3483,0,3.6850,9.3554,3.2207,0,22.1983,0,0,2023-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,11.8619,0,7.7862,8.4865,4.3578,0,9.2556,1.4045,0.0268,2023-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4.2175,0,0.5296,31.1574,12.7695,0,3.0989,8.0343,0.8108,2023-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,5.5724,0.2224,0.6816,112.6156,16.3068,0,6.5244,17.8525,1.4587,2023-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
