system:index,Bio Sub,Chemical control,Invasion,Mowing 1st,Mowing 2nd,No change,Recurring,Waterlogging,Waterlogging 2,date,region,.geo
0,1.9736,0,2.2526,5.5226,0,1044.9477,0,0,0,2020-01-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.2335,0,19.7749,0.6735,0,0,0,0,0,2020-02-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4.6179,0,14.0171,0.2207,0,0,0.3138,0,0,2020-03-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.1727,0,2.6935,1.1151,0,747.9830,0.0738,0,0,2020-04-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.1983,0,2.1715,1.4941,0,0,0.2032,0,0,2020-05-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.7838,0,3.5061,1.1505,0,0,0.4057,0,0,2020-06-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.2767,0,4.9931,5.0247,0,0,0.5900,0,0,2020-07-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.1661,0,0.9310,15.0992,0,0,0.0645,0,0,2020-08-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.3591,0,3.5354,1.3078,0.0276,0,1.8220,0,0,2020-09-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.7349,0,2.7905,6.9099,0,0,0.2485,0,0,2020-10-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.6042,0,2.8519,1.6661,0,0,1.8018,0,0,2020-11-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.0737,0,0.5226,2.4674,0.0092,0,2.9585,0,0,2020-12-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.0092,0,0.5406,6.0371,0.0275,0,0.8691,0,0,2021-01-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.1291,0,1.9158,8.4350,0.1563,0,2.5783,0,0,2021-02-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.2121,0,0.6561,8.5335,0.1567,0,1.4845,0,0,2021-03-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.1383,0,2.4284,3.9968,0.2922,0,2.1333,0,0,2021-04-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.3965,0,1.2359,3.0524,0.4665,0,0.6635,0,0,2021-05-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.6197,0,1.0875,8.4217,2.8127,0,0.4138,0,0,2021-06-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.4193,0,1.4597,6.8602,1.8088,0,1.4391,0,0,2021-07-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.0781,0,0.7187,10.0069,1.6300,0,1.1881,0,0,2021-08-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,6.3379,0,2.1832,8.7401,0.1463,0,1.7394,0,0,2021-09-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,7.2180,0,2.1731,8.6038,0.0183,0,0.7335,0,0,2021-10-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,8.5576,0,0.4334,8.6123,0.3785,0,0.1199,0,0,2021-11-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,9.6036,0,0.7296,20.8556,0.5844,0,0.3049,0,0,2021-12-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,5.3454,0,0.8197,4.5807,0.2852,0,1.0557,0,0,2022-01-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2.7080,0,0.2677,7.5259,0.3580,0,0.5341,0,0,2022-02-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2.0494,0,0.7973,15.1017,0.5058,0,0.7547,0,0,2022-03-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1.0615,0,0.5066,28.7697,0.5322,0,0.8661,0,0,2022-04-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,3.9474,0,1.1349,10.8186,0.5689,0,1.1900,0,0,2022-05-01,GX,"{""type"":""MultiPoint"",""coordinates"":[]}"
