system:index,Bio Sub,Chemical control,Invasion,Mowing 1st,Mowing 2nd,No change,Recurring,Waterlogging,Waterlogging 2,date,region,.geo
0,2.4069,18.7272,50.0787,91.8954,0,15500.4103,0,0,0.9409,2020-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.8352,0.0506,28.5660,43.6795,0,325.6422,0,0,0.0249,2020-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.3040,0,172.5440,43.5744,0,0,19.3572,0,0.2990,2020-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.1603,0,58.1206,79.1980,0,0.5214,5.8620,0,0.2614,2020-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.2531,1.0618,25.0179,28.1887,0.2821,0,3.2028,0.0501,0.2991,2020-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.2447,0.4298,320.0795,33.6502,0.9022,0,60.3840,0,2.4001,2020-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.2191,8.2075,345.5633,62.4181,4.1235,0,36.0231,0,1.5963,2020-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.2531,3.2948,177.7202,83.4878,3.0967,0,4.0992,0,5.8620,2020-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.1182,1.8032,131.6491,84.4907,1.8096,0,4.8896,0,0.0083,2020-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.0422,0.3036,107.1586,19.5451,0.3088,0,5.5900,0,0.0084,2020-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.0169,0.1851,73.8500,26.2097,0.0586,0,16.7990,0,0,2020-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.0675,0.0843,31.4351,25.8760,0.3542,0,14.6406,0,0,2020-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.0169,0.0084,28.5777,15.3714,1.4111,0,15.7162,0,0.0423,2021-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.0084,0,29.3754,61.5565,3.9917,0,12.3377,0.0332,0.0166,2021-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,0,31.4266,107.1145,6.1525,0,7.0788,0,0,2021-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.1007,0,75.5863,64.3901,6.6640,0,16.7294,0,0.1099,2021-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.0167,0,274.7584,69.3959,5.6832,0,26.2160,0.2759,0.1149,2021-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.6900,0,305.6444,106.8339,5.2662,0,8.8390,0.8066,0.9267,2021-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.3585,0.4906,551.1090,145.6275,3.0252,0,11.0156,2.8764,0.8988,2021-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,9.6724,0.3119,231.7053,81.7507,1.7834,0,10.0552,2.0339,1.5542,2021-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,17.4793,0.1180,49.4572,205.3429,3.8211,0,8.8647,1.8995,0.0997,2021-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.1846,0.0760,109.4152,105.8777,1.5602,0,30.4654,2.2233,0.7330,2021-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.9932,0.0084,62.1908,135.4096,3.3613,0,9.1497,0.2782,0,2021-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.7660,0.0084,38.1129,99.6205,8.2273,0,31.3086,0,0,2021-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
