system:index,Bio Sub,Chemical control,Invasion,Mowing 1st,Mowing 2nd,No change,Recurring,Waterlogging,Waterlogging 2,date,region,.geo
0,0,0.0711,71.5330,45.3956,0,4402.3806,0,0,0,2020-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0,10.4532,9.2862,0,21.4074,0,0,0,2020-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,0,12.1049,35.2113,0,0,4.5743,0,0,2020-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,0,12.3528,42.1405,0,0,2.0515,0,0.0395,2020-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,0,48.9074,3.7299,0.0080,0,8.8083,0,0,2020-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0,409.8715,6.0558,0.3193,0,55.7287,0,0,2020-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.3864,0,301.0840,2.4760,0.1735,0,18.4619,0,0.3158,2020-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.4025,0,133.1047,6.2284,0.0952,0,0.6565,0,0.2132,2020-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.1047,0,10.8724,13.4160,0.1587,0,0.1928,0,6.8139,2020-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,0,28.8049,5.3258,0.0316,0,1.2115,0,0.0316,2020-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,0,17.4867,0.5093,0,0,3.8186,0,0.5211,2020-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0,18.0900,3.5463,0.1273,0,3.5711,0,0,2020-12-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0,2.6575,6.9674,0.3901,0,0.3263,0,0,2021-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,0,15.4735,1.3144,0.1117,0,1.9633,0,0,2021-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,0,16.0573,8.4414,0.5968,0,4.0990,0,0,2021-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,0,8.5500,23.7915,0.5836,0,0.4607,0.0473,0,2021-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,0,86.2104,34.0444,0.6374,0,1.1478,0.1263,0,2021-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,0,164.0808,38.8150,1.3364,0,2.0564,0.1342,0,2021-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,0,76.6857,93.1754,1.2943,0,0.5455,0.4182,0.1340,2021-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.0402,0,103.4779,254.6305,8.7649,0,0.5748,1.6493,0,2021-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.0642,0,53.6060,3178.1040,38.6592,0,4.0497,0.7023,0.1576,2021-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.1045,0,52.2834,2350.6212,19.5799,0,0.8419,0.0946,0.1732,2021-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,0,8.8004,576.5857,7.8268,0,0.3982,0.2129,0.0394,2021-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,0,4.1018,299.5893,3.1640,0,0.6186,0,0,2021-12-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.0965,0,19.1819,29.6696,0.2454,0,12.0481,0,0,2022-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.0080,0,27.8857,96.5090,1.0200,0,26.7350,0.0079,0,2022-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.0079,0,14.8226,27.4365,1.6281,0,85.8494,0,0,2022-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,0,8.6598,25.2200,6.3107,0,2498.9726,0,0,2022-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.0563,0,8.3982,51.7954,9.2667,0,153.4421,0.0473,0,2022-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.0723,0,21.2976,30.8003,32.8348,0,38.3277,0.3548,0,2022-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.3700,0,9.0786,44.5009,220.9594,0,12.0451,0.0394,0,2022-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.0642,0,4.4203,71.4083,1370.0845,0,3.6663,0.5237,0.1115,2022-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.8447,0,0.8939,123.0186,1115.5720,0,4.0030,0.3640,0.4221,2022-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.4344,0,3.4118,55.9784,37.5536,0,1.8236,0.8629,0.0794,2022-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.1609,0,4.0672,77.2156,10.9742,0,8.9845,1.9966,0,2022-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.0080,0,3.5561,55.9920,6.3182,0,11.4442,0.6400,0,2022-12-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.0804,0,10.1596,70.4774,7.8738,0,8.0591,1.4881,0,2023-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.0080,0,4.9309,24.1802,1.2691,0,7.4060,0.6083,0,2023-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.2333,0,10.7554,52.8153,2.2809,0,6.1581,0.2855,0.0318,2023-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
