system:index,Bio Sub,Chemical control,Invasion,Mowing 1st,Mowing 2nd,No change,Recurring,Waterlogging,Waterlogging 2,date,region,.geo
0,0.7253,4.1864,56.5083,208.2926,0,4654.0420,0,0,0,2020-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.7598,0,37.9350,5.0123,0,1966.1776,0,0,0,2020-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.5971,0,68.8153,19.0337,0,0,47.4285,0,0,2020-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.6296,0,119.8064,36.0116,0,0.9929,48.9507,0,0,2020-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.0085,0,166.9809,5.2600,0,0,23.9164,0,0,2020-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.5114,0.2047,398.6268,29.8001,1.9357,0,76.9440,0,0.0594,2020-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.3146,0.8720,335.9382,68.1135,6.9445,0,25.4175,0,0,2020-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.1712,0.1019,16.5354,116.0211,1.4312,0,0.1623,0,0,2020-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.0424,0,50.1290,54.6956,0.2986,0,2.3672,0,0,2020-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.0085,0.0170,123.0358,20.1835,0.0085,0,24.1716,0,0,2020-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,0.0595,122.5420,12.0075,0.0086,0,22.9998,0,0,2020-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0.0171,158.1268,5.1890,0.5807,0,17.2247,0,0,2020-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.0170,17.3468,5.2904,0.1538,0,7.7955,0,0,2021-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.0255,0,5.2065,81.4269,2.3621,0,3.4872,0,0,2021-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.1196,0,17.9756,50.8400,7.6628,0,5.9507,0,0,2021-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.1189,0,149.5831,16.1515,0.8194,0,44.6547,0,0,2021-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.0255,0,451.2269,7.0246,0.8114,0,54.8506,0,0,2021-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.8719,0,196.9739,121.0653,0.1788,0,17.0833,0,0,2021-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.9190,0.0170,78.8818,36.1808,2.9623,0,12.5835,0.3396,0,2021-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.7168,0,82.5164,70.7231,6.7450,0,8.0482,2.5218,0,2021-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.6453,0,14.4956,32.2767,3.4967,0,1.2499,0,0,2021-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.2817,0,19.1404,46.0035,8.2427,0,3.7546,0.5693,0,2021-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.0255,0,8.8882,52.6232,6.5898,0,2.6709,0.0085,0,2021-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.1275,0,4.6577,43.8594,2.5727,0,2.1642,0,0,2021-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.1191,0,13.4002,12.8737,0.7897,0,8.2967,0,0,2022-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.4437,0,22.8413,11.1166,0.9179,0,24.2755,0,0,2022-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.3162,0,21.6477,2.6454,0.2045,0,27.3644,0,0,2022-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
