system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0.0172,10.4728,2.2073,91.3293,0,468.7694,0,0,0,2020-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.0258,11.8531,0.6856,12.2009,0,3.3133,0,0,0,2020-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.0086,10.8545,19.4638,42.6297,0,0,2.6132,0,0,2020-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,19.4015,1.2983,29.7122,0,25.0761,1.2528,0,0,2020-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.2415,23.6721,3.4907,134.9144,0.0087,0,10.0208,0.0088,0,2020-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.2414,91.3659,1.4427,167.6131,0.0086,0,27.5812,0.1392,0,2020-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.6638,138.7304,0.5372,212.8749,0.0867,0,9.3545,0.0173,0,2020-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.7892,25.9922,0.2468,259.1933,1.1400,0,2.1384,0.0347,0,2020-08-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.1671,36.4529,1.4532,228.5108,3.7082,0,5.7583,0.0522,0.0174,2020-09-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5265,18.3929,1.1553,37.8056,0.7789,0,9.6020,0.1221,0.0174,2020-10-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.6834,15.1743,2.5807,57.8362,0.2947,0,70.3227,0.3323,0.1756,2020-11-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,11.0813,0.0968,9.8939,0.0603,0,18.5862,0.1490,0.0262,2020-12-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.1229,19.6068,2.1883,42.2070,4.4258,0,57.8365,0,0.0785,2021-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.0259,18.8416,0.7825,8.1732,0.3613,0,50.8882,0.0175,0,2021-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
