system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0,0.7625,0,4.6561,0,362.7286,0,0,0,2020-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0.9726,0,1.2929,0,0,0,0,0,2020-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,3.4648,0,1.7846,0,0,0.4813,0,0,2020-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,6.5762,0,1.6830,0,0,0.1912,0,0,2020-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,48.2670,0,0.1506,0,0,1.5948,0,0,2020-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,601.2880,0,0.3809,0,0,5.2217,0,0,2020-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,303.3017,0,0.7121,0.0080,0,0.0632,0,0,2020-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,176.8288,0,0.2618,0,0,0.0238,0,0,2020-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,52.1023,0,1.6937,0.0236,0,0.1121,0,0,2020-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,5.4238,0,0.9869,0.0237,0,0.0402,0,0,2020-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,7.1377,0,0.6729,0.0158,0,0.2390,0,0,2020-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,2.9039,0,1.2487,0,0,0.0958,0,0,2020-12-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,3.8754,0,2.8716,0.0476,0,0.0554,0,0,2021-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,0.5976,0,0.5135,0.0159,0,0.0159,0,0,2021-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,1.4937,0,0.9706,0.0079,0,0.0478,0,0,2021-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
