system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0.1070,2.3509,5.7382,7.1925,0,18317.4522,0,0,0,2020-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0.6199,2.1905,0.8592,0,144.2773,0,0.3547,0,2020-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,2.6958,9.6600,2.7033,0,0,0.1162,0,0,2020-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,1.7670,0.0809,2.5292,0,486.6316,0.1518,0.0091,0,2020-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.0089,3.3893,0.7865,40.9759,0,0,0.0536,0.1255,0,2020-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0.7117,1.0731,35.8512,0.0625,0,0.0267,0.3118,0,2020-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.0272,1.6194,1.0437,65.9440,0.0179,0,0.1253,2.2898,0,2020-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,1.9788,2.6533,16.6438,0,0,1.0465,0.7116,0.1071,2020-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.0446,2.0340,4.5809,68.1416,0,0,0.4383,0.3566,0.3933,2020-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,0.6501,1.1710,42.4918,0.0715,0,0.7512,0.1780,0.3293,2020-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.0178,0.7319,3.6881,35.1271,0.1782,0,0.6188,0.1690,0.3123,2020-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.0178,5.5917,0.6484,32.7930,0.5869,0,1.4255,0,0.0623,2020-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.0178,8.7344,1.3248,50.4959,0.2141,0,4.7003,0.1601,0,2021-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,8.5108,1.2284,106.1800,0.0722,0,0.9125,0.0178,0.4630,2021-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,9.1334,1.6918,46.8544,0.0089,0,2.0237,0.3163,0.0978,2021-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,25.3784,1.7474,42.1217,0.1335,0,0.9371,0.2703,0.4536,2021-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,28.4158,3.2987,38.1493,0.6671,0,3.1956,0.0544,0.4808,2021-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,23.8734,4.7267,57.0388,0.0804,0,1.2049,0.4412,2.0153,2021-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,17.0908,5.9284,103.0147,0.2334,0,1.7406,1.1137,0.5868,2021-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,20.5913,2.0804,23.9599,0.0800,0,2.9820,0.2141,0.6228,2021-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,19.1418,3.7217,135.7512,0.3748,0,1.1745,0.7448,0.9156,2021-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,6.4654,2.1009,35.2792,0.0538,0,0.5313,1.4286,0.9612,2021-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.1688,6.2609,4.0256,42.6242,0.0536,0,1.2204,0.3408,0.0622,2021-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.3909,4.9577,1.0576,16.5713,0,0,1.0405,0.0713,0.2228,2021-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.0089,9.4315,2.6361,7.5326,0.3672,0,4.6086,0,0.0356,2022-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,12.4010,1.3247,13.1622,0.0897,0,5.9691,0,0.1872,2022-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,6.1303,2.1986,14.9040,0.1427,0,5.4313,0.0445,0,2022-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,18.9790,1.0470,18.7617,0.1611,0,6.3414,0.0889,0.2585,2022-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,57.1996,3.7014,44.7620,1.1162,0,7.1509,0.0622,0.1982,2022-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,37.5613,1.8609,19.2202,0.0537,0,7.2617,0.2933,0.5550,2022-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,4.1927,3.9421,147.6784,0.3218,0,4.4153,0.7483,1.1317,2022-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.0532,6.4330,1.1834,791.2010,0.6900,0,6.3539,0.0178,1.7599,2022-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.1332,1.3175,3.7333,3876.7112,9.8590,0,3.4569,1.8506,0.1615,2022-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,3.2654,1.3206,1496.6529,5.1703,0,2.1647,1.4396,0.3852,2022-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,2.1284,4.4165,846.4788,3.7664,0,3.3840,4.5851,1.7147,2022-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,4.5826,1.1824,55.0625,2.7226,0,3.0960,0.0089,0.1602,2022-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,5.6706,4.9817,17.5504,3.0954,0,4.8204,0,0.0802,2023-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,1.4089,2.0526,26.7407,2.1685,0,14.6363,0,0.2497,2023-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,1.5845,3.9110,14.1020,0.5847,0,8.4827,0,0.2847,2023-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,1.0077,0.9732,4.8411,0.4865,0,11.7942,0.0622,1.2765,2023-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,6.5828,3.4619,16.3082,4.8371,0,32.8365,0,2.7154,2023-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,6.5110,1.4851,8.9334,2.6908,0,26.7087,0.1688,5.3827,2023-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,1.7281,1.8320,44.3684,2.1306,0,33.8843,0.2399,2.6510,2023-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,2.2474,1.0733,142.2284,7.8432,0,22.2718,0.2672,5.6357,2023-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.6939,2.2287,3.0144,171.9929,10.8502,0,32.1020,0.1155,3.1645,2023-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.2935,3.8675,2.6143,11.5524,0.9721,0,16.0504,0,2.8361,2023-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.3024,14.2701,3.7591,21.4345,1.8902,0,13.6482,0,0.5955,2023-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0,64.2496,1.9338,6.2621,1.8132,0,44.4938,0,0.5895,2023-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.0806,9.4299,2.8346,5.5256,1.3849,0,18.0878,0,0.2934,2024-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,5.6183,3.8500,6.8755,2.5633,0,16.0533,0.4634,5.6408,2024-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,1.8086,3.1322,34.7325,10.9472,0,12.3878,25.0988,2.7375,2024-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.0267,5.0511,4.6366,20.0357,5.0401,0,40.4668,0.4899,1.6603,2024-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,0.4954,2.2887,12.4297,11.7810,0,8.0257,2.4921,2.5336,2024-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0,0.8401,4.4407,5.4494,11.3847,0,5.4383,0,1.2649,2024-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0,1.1877,6.7387,13.5490,36.8051,0,7.0816,0.0889,0.1779,2024-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,6.5852,0.1868,2.5798,9.9306,23.9767,0,2.3677,0.4524,0.3402,2024-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,34.4920,0.3760,0.6732,18.1555,14.6626,0,1.3295,0.2243,1.2342,2024-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.1789,0.0723,0,0.9686,0.0719,0,0.2161,0,0.1243,2024-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,1.6840,0,1.9171,0.1707,0.0363,0,0.3517,0,0.0266,2024-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0,0,0,0,0,722.3185,0,0,0,2024-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
