system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0,0.2123,5.1596,0.5145,0,913.2912,0,0,0,2020-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0.1018,2.2477,1.6569,0,8.0018,0,0,0,2020-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,0.4339,7.1576,1.0250,0,0,0.0184,0.4522,0,2020-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,0.6075,0.0830,0.9989,0,564.3228,0.0639,0,0,2020-04-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,1.5288,0.2019,3.2399,0,0,0.3483,0,0,2020-05-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,2.6505,1.3084,4.1868,0,0,0.0092,0.0092,0,2020-06-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,4.0374,1.1606,3.0413,0,0,0.0553,0.4059,0,2020-07-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,2.4422,2.0094,1.3457,0,0,0.0367,0.1292,0,2020-08-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,12.2708,3.1913,1.9784,0,0,0.1285,0.0277,0,2020-09-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,7.6071,0.9795,3.7399,0,0,0.1562,0.4152,0.0092,2020-10-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,1.1324,1.7342,0.5337,0,0,0.0552,0.0185,0.2305,2020-11-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,2.3562,0.3049,1.2900,0,0,0.1383,0,0.1383,2020-12-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.2955,0.6626,7.5141,0,0,0.1844,0.0277,0,2021-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,0.6120,0.4241,10.4075,0,0,0.0919,0.0369,0.0277,2021-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,0.5449,0.7753,1.2453,0,0,0.1841,0.1386,0.0646,2021-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,1.4037,1.3656,0.3874,0,0,0.5067,0.1941,0.1661,2021-04-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,3.3302,4.6617,1.9538,0.0091,0,2.4495,0.6653,0.1384,2021-05-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,1.8447,3.4366,6.7618,0.0830,0,0.5146,0.2128,1.6632,2021-06-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,1.4061,6.0193,3.9215,0.0643,0,1.1554,0.0092,0.0831,2021-07-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,1.0015,1.8613,6.1870,0.1014,0,0.9858,0.0739,0.0739,2021-08-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,3.1193,4.0811,5.8400,0.1478,0,2.0356,0,0.0913,2021-09-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,2.1118,1.3818,13.8790,0,0,1.0120,0.0831,0.0913,2021-10-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,0.3238,2.3587,17.7473,0.0461,0,0.2675,0.0369,0.0092,2021-11-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,0.0738,0.2764,16.3625,0.5308,0,0.1109,0.0464,0.2401,2021-12-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,0.1199,1.1058,3.5430,0.2209,0,0.7673,0.1294,0.0462,2022-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,0.2490,0.7472,1.4666,0.1566,0,1.0996,0,0.2669,2022-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,0.5891,1.7313,1.3924,0.0367,0,0.6645,0.1199,0.0462,2022-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,2.0598,1.0874,4.2565,1.2398,0,1.1348,0.0184,0.0737,2022-04-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
