system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,10.4252,11.7891,0.1424,36.5628,0,17309.1275,0,0.2495,0,2020-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.9748,6.6542,0.0756,3.7367,0,32.4863,0,0,0,2020-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.7663,10.0147,0.3274,19.1142,0,0.0168,1.7535,0.6625,0,2020-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.4822,4.0832,0,12.4796,0,0.0333,0.3544,1.6592,0.1673,2020-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.1347,31.5360,0.0505,22.2355,0.5358,0,0.7112,1.2795,0.4349,2020-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,372.1790,0,75.7968,0.1478,0,6.3537,3.1677,0.6151,2020-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,454.9198,0.0421,59.5713,0.1089,0,9.9351,3.3261,0.5795,2020-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,226.1641,0.0252,70.5202,0.1678,0,2.0685,0.2761,0.1245,2020-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,89.4957,0,74.4648,0.7557,0,0.1344,1.3399,0.8411,2020-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,15.1480,0,40.2265,1.5143,0,0.1760,0.3791,0.1097,2020-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.1849,3.3238,0,39.3834,0.2242,0,1.1190,0.7780,0.0501,2020-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.0505,5.9765,0,63.1017,0.9028,0,1.2767,0.1081,0,2020-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.0168,4.5400,0.0838,50.3022,0.7931,0,1.9719,0.4490,0.2686,2021-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.0252,1.9576,0.0084,13.4938,0.0417,0,6.6880,0.1247,0.5088,2021-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.0168,9.2962,0.0168,10.5865,0.1307,0,11.4117,1.0437,2.9246,2021-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.0505,39.4660,0.0588,11.8224,0.0420,0,9.3333,1.1738,1.7865,2021-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.1095,255.2378,0.1508,25.4728,0.2515,0,9.3067,0.9726,2.0975,2021-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,471.0013,0.1841,52.9408,0.0333,0,12.2046,1.6906,1.5461,2021-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,354.6544,0.2760,150.9507,0.3921,0,7.9430,6.1761,1.1062,2021-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,342.6875,0.0584,62.7172,0.1823,0,6.5183,7.0968,0.5339,2021-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.3028,33.0912,0.2504,313.0213,1.9717,0,0.8986,1.9834,0.3175,2021-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.6809,5.3407,0.0922,104.4452,3.9646,0,0.0585,1.6236,0.4343,2021-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.4472,9.2804,0.3855,148.4750,1.2977,0,1.9598,6.8439,0.1083,2021-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.4380,55.6356,0.0924,120.5577,0.4460,0,24.2721,2.0086,0.4426,2021-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2.2823,42.5209,0.3270,18.6306,0.1757,0,59.0892,0.2260,2.3804,2022-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.0084,11.2672,0.0420,15.2541,0.4890,0,51.3352,0.7154,0.7452,2022-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,1.1792,27.7982,0.0420,64.7073,9.5382,0,13.9048,3.9702,1.2538,2022-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.0334,79.0086,0.1086,32.5986,0.3528,0,26.7258,1.0400,0.4465,2022-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.4885,380.7997,0.3027,54.4811,1.0218,0,23.4340,0.5598,0.3715,2022-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.0168,289.7038,0.3778,93.2622,3.6107,0,21.2454,1.4573,4.3614,2022-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.4295,107.7167,1.4016,80.3542,4.3793,0,8.5384,2.5685,2.9930,2022-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.0421,100.8898,0.1341,68.5193,3.0947,0,6.7566,1.7916,1.6118,2022-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,13.8335,64.4849,0.5126,94.3346,9.5943,0,6.1506,3.5837,1.0107,2022-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,1.4619,23.2093,0.1428,62.9091,6.3683,0,6.3974,0.0738,0.1265,2022-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,4.6308,11.8817,0.5293,61.6153,1.5577,0,1.1564,2.3024,0.3277,2022-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.0337,20.4995,0.2605,91.0553,2.1115,0,5.4423,0.3436,0,2022-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,1.1967,14.8088,1.0251,111.2490,0.9093,0,2.8037,1.5118,1.4783,2023-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.0591,14.8773,0.2941,159.5472,2.5189,0,5.5494,1.2989,1.7660,2023-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,35.9796,0.2521,134.8988,3.8817,0,11.4180,7.9386,9.7966,2023-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.0168,105.3280,0,99.8951,1.2299,0,24.2181,10.9800,6.5986,2023-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.0758,115.9955,0,88.2370,2.1190,0,32.2120,5.5823,3.2358,2023-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,238.0358,0,309.2150,13.8947,0,12.7891,2.6987,23.5553,2023-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.0084,149.1382,0.1685,1053.4523,56.3121,0,8.1167,7.8970,11.5543,2023-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.0338,144.9475,0.0672,1554.2985,37.1172,0,4.8874,12.8121,5.5278,2023-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,6.5615,31.9824,0,1588.0865,31.5186,0,5.0819,129.4719,90.8244,2023-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,6.3996,5.7893,0.0251,3370.0810,35.3250,0,3.1262,251.7602,393.8969,2023-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,36.0761,7.2919,0,1708.6094,18.8427,0,11.8495,1187.2671,588.4217,2023-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,3.9163,210.7653,0,232.1816,2.9544,0,21.5361,84.4431,158.3493,2023-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,18.7564,4.2995,0.0169,100.4295,1.2245,0,18.2792,2.6820,35.3508,2024-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,3.9193,1.5201,0.0337,154.8255,14.4768,0,63.5679,5.5245,69.3881,2024-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5.4615,1.8539,0,242.5261,11.8774,0,80.3591,15.9890,149.4577,2024-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.6908,16.1681,0.2049,46.8189,2.2868,0,165.5531,6.9249,214.1241,2024-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.1767,19.2306,0.2049,203.4125,12.9122,0,98.1074,1.3812,379.8944,2024-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0,140.8339,0.0578,1682.6020,90.5306,0,67.5715,42.4968,488.6712,2024-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.0669,11.3384,0.0664,1839.1927,53.9965,0,17.2482,54.9467,28.8442,2024-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.5878,3.2229,0.0586,1253.0015,45.0435,0,21.3569,133.3347,249.9741,2024-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,566.5579,1.5245,0.0838,1551.4518,139.9279,0,5.5045,182.7270,127.3237,2024-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,12.3759,0.1256,0,131.2400,0.7680,0,2.9911,0.0415,0.3077,2024-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,4.4972,0.0253,0,8.7543,0.2592,0,2.8394,0.1081,0.2329,2024-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0,0,0,0,0,4529.5461,0,0,0,2024-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
