system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0,2.9838,0,7.3632,0,4060.8731,0,0,0,2020-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,4.6258,0,1.4446,0,17.4246,0,0,0,2020-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,10.6660,0,1.9843,0,0,0.6471,0,0,2020-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,9.2044,0,1.8973,0,0,0.2072,0.0476,0.0714,2020-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,70.1872,0,5.7051,0,0,1.7467,0,0.0873,2020-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,650.2416,0,4.6919,0,0,5.2534,0.0315,0,2020-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,347.3715,0,4.4829,0.1189,0,0.0632,0,0.0159,2020-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,208.7287,0,5.0884,0,0,0.0238,3.4741,0.0874,2020-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,85.0039,0,6.0433,0.0236,0,0.1442,8.5035,0.5055,2020-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,13.6503,0,9.4727,0.0237,0,0.1526,0,0.0319,2020-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,16.7607,0,3.1656,0.0158,0,0.4231,0,0,2020-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,7.4123,0,9.6200,0,0,0.4480,0,0,2020-12-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,9.8574,0,14.9764,0.0476,0,0.1907,0,0,2021-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,2.0232,0,2.8520,0.0159,0,0.0962,0,0,2021-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,5.1588,0,5.3142,0.0158,0,0.2651,0.1597,0.1111,2021-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,16.1176,0,1.5101,0.0319,0,0.4281,4.3493,0.0238,2021-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,97.6495,0,20.3755,0.0719,0,1.2025,1.8253,0,2021-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,191.6040,0,40.4965,0.0237,0,0.7379,0.6517,0,2021-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,47.8594,0,61.4771,0.2369,0,0.2631,0.4450,0.0239,2021-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,61.3126,0,227.1776,0.2328,0,0.0715,0.4051,0.2139,2021-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.1942,43.1659,0,3302.4051,4.6276,0,0.1337,0.3151,0.1185,2021-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.0796,15.7070,0,2691.4591,4.6836,0,0.1345,0.2461,0.1421,2021-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,10.4516,0,392.6675,0.0237,0,4.0155,0.0398,0.0238,2021-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.0159,5.6380,0,457.8446,0.3858,0,6.6707,0,0.2596,2021-12-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,10.2867,0,24.3367,0,0,4.3744,0,0.2917,2022-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,3.6516,0,11.6081,0,0,77.8405,0.0719,1.0285,2022-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.0080,3.2422,0,19.4567,4.1597,0,72.4458,0.0790,1.6985,2022-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,10.6808,0,6.0404,4.6495,0,2438.4540,0,3.6671,2022-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.0881,10.7390,0,15.6083,3.7706,0,152.4703,0.0237,12.2616,2022-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,10.9646,0,12.7307,6.9319,0,9.5464,0.2717,9.2083,2022-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,6.5781,0,54.0061,184.9046,0,8.0521,0.3188,1.1915,2022-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,3.7480,0,80.6132,1114.1824,0,1.2406,0.8205,0.7040,2022-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,0.4721,0,421.1801,1330.6728,0,0.3760,0.8363,0.3174,2022-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.0318,0.2561,0,154.2486,71.4776,0,0.4463,0.2549,0.4917,2022-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,0.4954,0,61.0949,2.7803,0,1.4043,0.0715,0.9441,2022-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,0.3769,0,58.8940,3.5079,0,4.4581,0.2860,0.4914,2022-12-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,0.3686,0,30.7472,2.2063,0,15.4839,0.0797,0.2289,2023-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,0.2957,0,16.1875,0.3412,0,44.6040,0,0.9234,2023-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,0.3596,0,18.3010,1.1965,0,3.8003,0,0.9310,2023-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,0.2637,0,27.5613,54.0847,0,4.3904,0.1996,1.5006,2023-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,3.5460,0,23.8766,4.5608,0,14.2954,0.2236,4.1027,2023-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,6.7766,0,40.3195,1.2889,0,2.8041,1.3177,3.0373,2023-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,1.1979,0,108.2086,10.1004,0,2.0574,0.1118,1.1528,2023-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.2084,0.7513,0,444.5901,35.8890,0,1.2649,0.7032,3.1004,2023-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.1683,0.0399,0,447.8486,15.7977,0,0.1525,0.0239,0.0080,2023-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.0240,0,0,70.9157,4.2042,0,0.4222,0.1597,0.6095,2023-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.0321,0.0879,0,6.7718,0.6710,0,4.7697,0.0239,0.5315,2023-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0,1.5983,0,0.6208,0.0160,0,3.1575,0,2.4335,2023-12-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.1842,6.8565,0,0.8278,0.0636,0,6.7740,0,1.2609,2024-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.1039,1.1107,0,0.1273,0,0,8.9822,0,8.8929,2024-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.0798,0.7591,0,3.3722,0.5515,0,6.8746,0.0080,5.2163,2024-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.2000,0.2216,0,0.7511,0.1518,0,28.8127,9.7329,13.2484,2024-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,0.0474,0,0.2712,0.0080,0,3.8156,4.0673,7.9026,2024-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0,0.2713,0,1.3888,3.2919,0,2.5518,0,5.0345,2024-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0,0.1760,0,1.1017,2.9271,0,2.6403,0,6.1648,2024-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.3285,0,0,0.4296,2.0232,0,1.2493,0,0.8457,2024-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,42.5739,0,0,17.6052,16.1604,0,0.2632,0,0.1433,2024-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,1.6116,0,0,0.1832,0.0319,0,0.2159,0,0,2024-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.0555,0,0,0.5017,0.2070,0,0.0318,0,0.1346,2024-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
