system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0.0086,22.3874,7.8053,25.8039,0,9067.8363,0,0,0,2020-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.0170,2.4764,0.5899,13.0335,0,0,0,0,0,2020-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,9.8995,3.7104,2.6553,0,0,0.1023,0,0,2020-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,90.7014,0,8.9345,0,0.0428,4.9691,0,0,2020-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,81.0059,0,4.1109,0,0,5.9796,0.6539,2.8195,2020-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,370.9040,0.0514,121.9867,0,0,11.0162,19.5240,6.6920,2020-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,163.8044,0.0257,44.6912,0.5267,0,0.3229,23.0567,2.4627,2020-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,20.3155,0.0428,44.3953,0.0085,0,1.0901,0.1953,0,2020-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.0257,12.7415,0.4455,30.8811,0.1193,0,1.6219,0.0170,0.0170,2020-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,6.3463,0.0428,48.6239,0.2389,0,0.2044,4.9017,0,2020-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,6.3441,0.1627,20.9616,0.1104,0,3.0183,11.4418,0.2039,2020-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,4.3300,0.0086,24.1993,0.1700,0,5.3766,0.2208,1.2913,2020-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,7.1657,0.0857,14.5114,0.4672,0,2.1804,0.0340,0.0085,2021-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,3.1102,0.1028,6.8917,0.2548,0,6.0468,0,0.3908,2021-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,17.8287,0.1285,5.2024,0.1443,0,20.2498,0.0085,0.0425,2021-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,125.8354,0.2827,6.0424,0.0851,0,12.5200,0,0.0085,2021-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,377.1182,0.6249,19.7082,1.1983,0,13.6662,0.6623,1.1888,2021-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,295.0108,3.3389,106.1577,0.5008,0,10.5375,5.8256,6.4544,2021-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,82.2757,4.4259,59.5628,0.6214,0,16.2381,6.4458,3.9153,2021-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,150.9221,1.6007,52.3588,3.7243,0,0.9623,0.1104,4.8673,2021-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,4.0007,2.4228,84.1230,0.5971,0,0.6632,0.4670,0.8577,2021-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,1.4540,0.2995,128.5482,8.6549,0,0.0340,5.5130,5.4620,2021-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,3.1301,0.9584,46.4135,3.4898,0,1.3236,23.9905,1.2655,2021-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,0.9058,0.5561,30.0465,0.8638,0,6.5477,12.8135,0.3566,2021-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,1.4950,0.8726,9.7335,0.4095,0,4.2243,1.4181,1.9377,2022-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,0.9991,0.3168,5.2104,0.3849,0,26.0829,0.1019,3.2869,2022-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,2.0978,0.4194,3.2528,0.3929,0,24.7520,0.0255,0.5436,2022-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,79.8626,0.8733,1.5441,0.3931,0,68.1773,0,1.4522,2022-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,271.4340,0.9846,28.4886,0.1359,0,26.9343,0.0085,2.1059,2022-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,242.9985,2.1404,66.0507,2.6490,0,36.0816,0.0170,0.5943,2022-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,31.2153,0.5819,52.4055,1.4989,0,29.7050,0.0594,0.7641,2022-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,18.3503,0.4194,195.4391,10.0608,0,22.0768,0.0339,0.7047,2022-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,53.6153,2.4499,0.3166,291.4682,36.1147,0,3.3402,0.6789,0.0425,2022-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3.1936,0.7837,0.1884,103.1918,28.4126,0,2.4308,0.2293,0.3055,2022-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.7491,0.6751,0.5736,60.2407,10.2479,0,10.4718,1.5252,0.3820,2022-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,1.1768,0.1876,0.2911,27.7765,3.9335,0,4.2130,0.5533,0.1867,2022-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3.9871,0.0937,0.2654,40.4070,3.2826,0,6.3346,0.0510,0.0679,2023-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2.8224,1.9936,0.1541,9.9577,1.8491,0,7.1552,0,0.0085,2023-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
