system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0.0699,24.0115,20.1248,21.8074,0,15918.0156,0,0,0,2020-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.0087,7.0748,4.6258,3.1862,0,1167.6096,0,0,0,2020-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.0437,9.6021,29.1632,27.3426,0,0,1.9176,0.7508,0.0435,2020-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.0262,16.5586,0.2715,38.6227,0,52.1997,0.2353,14.4892,0.2089,2020-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.0262,34.3937,1.1423,193.5697,0.0430,0,2.4868,9.8728,1.0352,2020-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,259.3362,0.2801,159.9458,0.1584,0,9.1803,2.0582,0.2519,2020-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,309.9414,0.2732,146.9891,0.0087,0,6.8763,3.0587,0.2437,2020-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,82.3343,1.5146,101.6121,0.4436,0,8.3423,2.5390,1.0943,2020-08-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.6187,23.2550,3.5548,100.9461,0.1295,0,4.8368,1.8219,2.8729,2020-09-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5054,8.0042,1.7762,166.7233,1.6779,0,2.7407,1.8606,0.7675,2020-10-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.6054,7.8822,2.6273,136.3109,0.6323,0,4.9505,2.6702,1.4368,2020-11-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.1923,5.1440,1.9689,134.6792,0.4598,0,5.7276,5.9503,1.4594,2020-12-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.6535,9.7398,3.8419,68.3969,0.6000,0,16.4327,4.4750,1.5871,2021-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.7485,24.1202,2.4922,37.2451,0.6290,0,25.8199,13.3644,19.1495,2021-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,6.5885,47.0398,5.0865,26.7731,1.1582,0,45.3622,0.5175,7.4025,2021-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,6.1883,257.1289,4.2117,31.0311,0.4052,0,86.1637,0.8775,10.8449,2021-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,38.0074,256.0176,6.1538,67.8779,1.9840,0,37.5725,0.9155,49.0422,2021-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,20.5626,163.3336,11.4825,75.5414,0.7775,0,24.2733,5.2002,18.6363,2021-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,39.6937,116.6978,9.6547,175.1102,1.4910,0,30.1345,3.8765,2.9250,2021-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,26.4099,230.2662,4.1612,111.2359,4.7948,0,18.7327,16.1243,2.2201,2021-08-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,67.7986,86.1354,9.5250,228.9016,13.5993,0,15.1934,25.0057,4.1312,2021-09-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,24.0069,40.1125,2.6756,314.1237,6.4828,0,4.8891,12.0440,12.9579,2021-10-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,44.1357,32.8762,3.3231,125.7792,1.8342,0,7.2290,5.5778,7.6416,2021-11-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,22.2065,15.0491,1.3501,188.9349,1.1711,0,8.7291,2.7058,5.3880,2021-12-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,20.8342,16.3609,2.8902,33.2506,0.6560,0,21.8311,1.9262,3.3054,2022-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1.6008,17.7977,1.8890,56.8091,1.6248,0,34.5078,1.7975,9.1851,2022-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,4.5489,28.2681,3.0877,78.5571,2.6785,0,62.0039,2.5006,3.6985,2022-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.8001,200.4114,3.5181,51.5974,2.5869,0,210.8660,2.5710,7.5495,2022-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.5302,281.5608,5.7874,117.8329,9.3366,0,153.7979,0.6440,8.7509,2022-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,167.2782,2.9158,66.2022,5.8022,0,38.4895,1.2956,15.6494,2022-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
