system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0.8967,6.1367,2.2056,6.3636,0,19161.8868,0,0.2583,0,2020-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,27.9179,0.3042,1.0005,0,97.6395,0,0,0,2020-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,69.7684,0.4375,14.0462,0,0,0.5771,0,0,2020-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,30.1750,0.1610,20.6992,0,554.0992,0.1074,0.0729,0,2020-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,25.8475,0.0800,5.0875,0,0,0.6609,0,0,2020-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,71.0941,0,4.3864,0,0,3.8962,0.0091,0,2020-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,4.2202,0.3127,19.8170,0,0,0.3687,3.1357,0,2020-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,19.0831,0.4637,37.2009,0.0359,0,1.6968,0.0537,0,2020-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,11.2956,0.3580,30.3875,0.0358,0,0.5773,0.0358,0,2020-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,56.1072,0.4391,8.0394,0.0986,0,3.7208,0.1274,0,2020-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,12.5952,2.6594,12.5803,0.0452,0,2.1485,1.6049,0,2020-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,10.9053,2.2746,25.6071,0.5220,0,0.5492,0.1975,0,2020-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,17.4148,2.7280,25.1500,0.4749,0,1.2896,0,0,2021-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,16.7122,3.2154,218.5470,1.0625,0,0.6036,0.0360,0,2021-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,3.8349,5.3268,239.4569,1.9541,0,0.1166,0.3849,0,2021-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,32.1932,7.2791,11.5337,0.0903,0,4.6376,0,0,2021-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,40.5690,8.9599,52.1111,0.2426,0,10.6839,0,0,2021-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,42.8035,3.0770,25.3744,0.0089,0,6.9451,0.0357,0.0267,2021-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,8.7520,3.4357,165.9822,0.9192,0,2.1883,9.4644,0,2021-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,23.7474,0.6900,54.2943,0.4485,0,4.6746,0.5522,0,2021-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,19.4851,2.7960,160.6955,1.7607,0,2.6255,0.3729,0.0267,2021-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,15.5930,4.0162,21.0922,0.3661,0,1.9792,0.0182,0.1333,2021-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
