system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0.0277,0.6923,2.0286,0.7842,0,1228.4132,0,0,0,2020-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,2.2443,0.3136,0.6076,0,0.5543,0,0,0,2020-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,6.8563,0.6732,0.8389,0,0,0.0371,0,0,2020-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,1.2640,0.5256,4.0082,0,625.1282,0.0092,0,0,2020-04-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,1.7261,0.1015,2.2485,0,0,0.0649,0,0,2020-05-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,6.4568,0.0922,0.4785,0,0,0.8879,0,0,2020-06-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,4.2315,2.2109,4.8253,0,0,0.3687,0.1207,0,2020-07-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,5.5927,0.8394,2.9425,0,0,0.5988,0,0,2020-08-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,3.7755,0.7013,2.4692,0.0092,0,0.1012,0,0,2020-09-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,14.5482,0.8941,1.2915,0,0,0.6740,0,0.0277,2020-10-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,1.3972,2.9595,0.8931,0,0,0.4678,0.0093,0,2020-11-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.0461,0.5994,2.8668,2.0076,0.0555,0,0.2313,0.2305,0.1384,2020-12-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.8122,3.8462,9.2642,0.0185,0,0.0921,0,0,2021-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,0.0370,1.5962,17.6692,0.1659,0,0.0277,0,0,2021-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,0.1483,4.6381,11.4197,0.1387,0,0.0092,0.0742,0,2021-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,0.5633,4.4569,0.9426,0.1017,0,0.6174,0.0186,0,2021-04-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,1.2167,4.3044,1.6814,0.0278,0,3.3383,0.0093,0.0093,2021-05-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,2.8747,1.2374,1.6429,0.0830,0,3.2523,0,0,2021-06-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,1.1779,1.9626,4.2958,0.0737,0,0.2572,0.3424,0.2310,2021-07-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,2.2079,0.1476,3.9236,0.0830,0,2.2087,0,0.2125,2021-08-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,0.9264,0.5429,13.8638,0.0552,0,0.5167,0,0.7854,2021-09-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,2.2280,0.7745,4.4499,0.0554,0,1.0315,0,0.8594,2021-10-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,0.0831,1.7231,10.3795,0.0924,0,0.0092,0.0371,0,2021-11-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,0.2399,0.7373,7.4653,0.0738,0,0.0923,0,0,2021-12-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,0.4518,0.5899,1.6697,0.1197,0,0.3241,0,0,2022-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,0.9936,0.0830,0.4043,0.0092,0,2.3191,0,0.0277,2022-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,1.8506,5.2476,3.2442,0.2392,0,0.6846,0.0185,0.1016,2022-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,0.7019,2.6464,6.0745,0.1379,0,0.9608,0.1109,0.0462,2022-04-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,1.0515,5.1623,3.3179,0.1287,0,0.5170,0,0,2022-05-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,0.6733,1.7060,1.0339,0.1469,0,1.0058,0,0,2022-06-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,0.8016,4.5123,3.0221,0.2772,0,1.0499,0.2041,0,2022-07-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,0.4319,0.8291,1.7377,0.1016,0,1.6749,0,0,2022-08-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,0.1926,2.2641,6.5164,0.6660,0,0.3573,0,0.0277,2022-09-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,1.0810,0.5709,0.7854,0.0923,0,0.6998,0,0.2771,2022-10-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,0,3.0333,4.3386,0.5882,0,0.0185,0.0371,1.5709,2022-11-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,0.2104,0.7287,3.4730,0.2958,0,0.0824,0,0.3789,2022-12-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,0.0922,0.1108,2.1650,0.0833,0,0.0463,0,0,2023-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,0.0735,0.2948,1.6264,0.0646,0,0.1477,0,0.2310,2023-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,0.0553,1.4194,2.9031,0.0462,0,0.1200,0.2495,0.4435,2023-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,0.1749,1.7891,0.2860,0.1479,0,0.3514,0,0.8592,2023-04-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,1.1133,0.3689,0.5545,0.0369,0,1.1172,0,0.3234,2023-05-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,0.5434,0.0277,1.0989,0.0461,0,0.9780,0,0.3418,2023-06-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,0.0092,0.3137,2.5513,0.2129,0,0.0831,0.0462,0.0369,2023-07-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
