system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,13.8371,13.3805,0.3858,18.0913,0,16653.7027,0,2.0431,0,2020-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.0084,50.1302,0.4781,8.4992,0,3.5633,0,0,0,2020-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,99.8266,0.2431,39.5388,0,0,1.3593,0,0,2020-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,49.7646,1.0470,56.6241,0,0.1089,0.6976,0,0,2020-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,73.5369,0.3769,6.5468,0,0,4.5029,0,0,2020-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,665.4415,0,4.1365,0,0,34.2841,0.0415,0,2020-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,210.3372,0.0169,29.0853,0.0419,0,7.4213,30.4029,0.0084,2020-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,183.3737,0.0506,43.0600,0.0755,0,1.3953,0.5539,0,2020-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,147.2420,0.0168,45.0130,0.3099,0,1.8133,0.0756,0,2020-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,219.3505,0,15.7983,0.0919,0,5.7482,0.1931,0,2020-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,30.0024,1.8676,34.4851,0.0585,0,4.9308,1.0256,0,2020-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,13.5842,0.6782,85.4380,1.5167,0,0.9693,0.8802,0.0418,2020-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,33.9073,3.3838,88.8340,0.7579,0,2.2111,0,0,2021-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,17.7203,4.1265,200.5544,2.0420,0,1.8868,0,0,2021-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,18.0196,16.8827,275.6167,3.9882,0,5.2078,3.5698,0,2021-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,77.4648,6.3999,23.0746,0.1576,0,18.2774,0.4647,0,2021-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,319.7462,4.6511,63.5394,0.3498,0,81.0641,0.0574,0.0657,2021-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,355.4104,0,57.7323,0.2334,0,78.2350,0.2578,0,2021-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,137.5311,0.4106,139.9968,4.4824,0,16.4514,12.7562,0.9105,2021-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,209.9245,0.2842,73.1163,1.8311,0,20.1221,3.3571,0.1888,2021-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,118.4150,0.1993,306.8549,4.9415,0,9.1743,0.1340,0.4159,2021-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,27.9298,0.1412,101.7340,2.7254,0,10.7600,0.0920,0.6733,2021-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,10.8072,1.1104,392.0138,9.5737,0,3.5097,0.6606,0.1825,2021-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,41.7303,0.6808,160.0631,2.9970,0,13.3020,0.0503,0.1638,2021-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,160.9934,0.1076,25.3229,0.7067,0,64.0628,0,0,2022-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,221.9441,0.0676,7.5552,0.0167,0,99.9853,0.0247,0.0671,2022-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,115.8311,1.8205,16.5322,1.2064,0,18.9497,2.6195,0,2022-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,81.6878,0.5300,53.4053,6.0320,0,33.9718,4.2452,0.1233,2022-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,252.7659,2.4999,86.6946,5.6922,0,30.3543,0.0905,0,2022-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,244.0975,0.4030,35.2037,7.2653,0,33.0173,0.9455,0.0823,2022-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,140.6572,0.6804,77.0379,8.4027,0,20.2979,9.0192,1.4649,2022-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,67.2390,0.3374,46.4816,7.7849,0,22.3589,6.7374,0.8662,2022-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,65.5848,1.1198,203.9859,21.4189,0,7.1485,2.5309,1.5725,2022-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,124.9618,0.4441,17.8925,1.2059,0,26.1476,10.9753,1.5604,2022-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,13.5919,1.1611,161.0449,9.9671,0,1.9004,63.1005,2.4383,2022-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,41.9307,0.3724,151.2245,21.0454,0,4.7188,6.8567,3.2642,2022-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,90.2340,0.2080,124.0163,4.1747,0,27.9125,0.4543,0.7258,2023-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,41.6919,0.1927,187.3793,6.2387,0,10.0570,1.2291,1.2472,2023-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,19.0662,1.8739,298.8673,17.0001,0,3.6120,8.4172,2.8172,2023-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
