system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,12.1811,8.0787,1.2231,28.4789,0,6223.4248,0,0.4076,0,2020-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,54.3027,1.8579,2.2605,0,0.3416,0,0,0,2020-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,366.0886,1.2228,3.9348,0,0,10.7404,0,0,2020-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,132.7054,1.0614,24.4990,0,1.6273,1.3335,0.0425,0,2020-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,201.7076,0.0514,15.3079,0.0598,0,2.2536,0,0,2020-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,651.3118,0.1283,6.7501,0,0,13.2928,0,0,2020-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,125.1549,0.6758,54.8505,0.0085,0,4.8194,0.7747,0,2020-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,92.8350,0.1111,85.3355,0,0,7.3240,0,0,2020-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,33.9940,0.0257,50.4522,0,0,2.9989,0.0340,0,2020-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,174.8598,0.1198,11.4288,0.0685,0,7.6686,0.0425,0,2020-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,3.7629,4.7001,49.7603,0.2563,0,1.4039,0.4417,0,2020-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,2.5956,4.0491,155.5388,2.6368,0,0.7220,0.3566,0,2020-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,13.8115,4.1436,62.1579,0.2217,0,2.1324,0,0,2021-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,24.8235,0.5649,80.0809,1.6068,0,13.6554,0.1104,0,2021-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,24.5914,4.8105,51.3332,1.8952,0,15.5401,0.1026,0,2021-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,253.3590,1.1886,9.1080,2.6076,0,134.5555,0,0,2021-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,454.1390,5.7915,46.0824,4.5433,0,75.7744,0,0,2021-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,314.1023,2.6613,119.6584,0.9260,0,59.4514,0,0,2021-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,49.7512,0.2910,94.5855,9.1604,0,9.5265,0.2208,0,2021-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,37.5846,0.1710,68.7322,4.4746,0,6.5896,0.0085,0,2021-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,5.9700,0.9063,219.9053,33.5903,0,3.9570,0,0,2021-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,1.7015,0.4793,144.7535,18.2744,0,2.4971,0,0.0170,2021-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,0.0849,4.3651,382.1256,38.6478,0,0.2717,0.1698,0.0510,2021-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,1.1655,5.2993,154.1283,11.5579,0,1.3473,0.5774,0,2021-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,4.2562,3.0806,4.8337,0.0681,0,19.7873,0.0170,0,2022-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,31.2943,1.1644,0.7141,0.1188,0,298.1446,0.0509,0.0594,2022-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,27.8677,10.5690,3.4317,0.9085,0,60.3552,0.4500,0.0594,2022-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,113.4865,4.4985,5.8747,9.8002,0,170.4150,1.1378,0.0425,2022-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,229.7962,11.3158,39.4357,3.2868,0,141.6806,0.1019,0.0085,2022-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,269.8794,9.8264,58.5615,1.4716,0,81.7207,3.0569,0.1698,2022-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,55.5050,1.4942,35.6568,6.4267,0,31.7445,14.4438,0.2123,2022-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,18.2997,0.4002,56.1404,18.6799,0,16.0485,0.9764,0.0764,2022-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,1.8933,14.3515,171.5589,75.7264,0,1.4645,2.7852,0,2022-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,17.3404,14.7798,30.7423,7.4580,0,12.0758,0.8916,1.0614,2022-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,3.4418,45.8131,95.0514,35.4821,0,2.7233,4.8237,0.5859,2022-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,15.9915,37.3714,39.9093,19.9423,0,1.7488,0.5965,0,2022-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,26.9098,5.6908,19.4155,5.7866,0,16.7476,0.4335,0,2023-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
