system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0,0.9335,0,1.6601,0,558.5219,0,0,0,2020-01-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,7.2099,0,0.1473,0,17.8487,0,0,0,2020-02-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,4.8218,0,1.7989,0,0,0.3102,0,0,2020-03-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,3.7293,0,6.3097,0,0,0.0700,0,0,2020-04-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,5.0082,0,0.3342,0,0,0.0854,0,0,2020-05-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,42.6349,0,0,0,0,3.4452,0,0,2020-06-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,14.3476,0,0.2482,0.0155,0,3.2562,6.1051,0,2020-07-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,18.5669,0,1.1126,0,0,0.1010,0.1474,0,2020-08-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,6.3270,0,3.4900,0,0,0,0,0,2020-09-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,10.5095,0,0.9629,0,0,0.0778,0.9697,0,2020-10-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,1.2413,0,6.8073,0,0,0.1013,0.4267,0,2020-11-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0.4885,0,9.0577,0.0233,0,0,0.0388,0.0310,2020-12-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,1.6493,0,10.2678,0.2258,0,0.0391,0,0,2021-01-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
