system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0.5579,1.4810,1.1281,2.5275,0,560.2312,0,0.0089,0,2020-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,10.8955,0.0359,0.3307,0,0,0,0,0,2020-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,24.5979,0.0449,7.3144,0,0,0.3428,0,0,2020-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,18.7067,0.0624,4.6382,0,72.4341,0.0983,0,0,2020-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,10.8979,0.0177,1.8041,0,0,0.5708,0,0,2020-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,31.3927,0,1.4210,0,0,1.4470,0,0,2020-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,0.9325,0.0630,7.3113,0,0,0.0272,0,0,2020-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,7.4613,0.2483,8.7832,0.0270,0,0.2873,0,0,2020-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,3.3829,0.0898,7.0293,0.0267,0,0.0446,0,0,2020-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,24.2881,0.0624,1.0907,0,0,1.2460,0,0,2020-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,3.9962,1.1708,3.5820,0.0270,0,0.5647,0,0,2020-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,4.4622,0.5015,5.9638,0.1342,0,0.2243,0.0089,0,2020-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,7.6198,0.5099,7.6488,0.0894,0,0.5684,0,0,2021-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,10.8705,1.6254,28.3212,0.1791,0,0.3242,0,0,2021-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,2.0268,2.6216,107.1121,0.7497,0,0.0718,0,0,2021-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,15.4925,4.7252,3.5352,0,0,2.1042,0,0,2021-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,21.6046,3.6258,12.1467,0.0089,0,4.7141,0,0,2021-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,20.9213,1.3503,16.4904,0.0089,0,2.9313,0,0,2021-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,3.3342,0.9930,91.5407,0.2769,0,0.8761,0,0,2021-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,9.9736,0.2860,22.4369,0.1963,0,1.6815,0,0,2021-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,2.3614,0.5135,98.1350,1.1160,0,0.5369,0,0,2021-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,7.0459,0.4332,13.0399,0.2945,0,0.4026,0,0,2021-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,0.8646,2.0020,78.1512,1.4751,0,0.1433,0,0.0178,2021-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,7.2475,1.4424,32.2042,0.0625,0,0.9652,0,0,2021-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,6.4805,1.0026,4.9755,0,0,4.6741,0,0,2022-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,17.4325,0.3610,0.5380,0,0,34.5126,0,0,2022-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,11.8220,1.7202,3.0858,0.0445,0,6.9580,0.0362,0,2022-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,1.5012,1.3667,15.1330,1.3643,0,2.5653,0.3079,0,2022-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,6.7910,1.8500,20.9056,0.3057,0,7.0969,0,0,2022-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,3.7093,3.2716,9.2229,0.1601,0,3.6198,0,0,2022-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,1.2946,4.8866,49.2334,2.6743,0,0.8326,0.0272,0,2022-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,0.4424,2.8907,290.2235,4.1340,0,0.1875,0.0181,0,2022-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,0.1708,8.1451,3633.7681,44.3899,0,0.1449,0,0,2022-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,0.1342,0.6935,1040.7565,2.2363,0,0.1167,0,0.2264,2022-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,0.0447,4.2431,833.5007,6.5647,0,0.0355,0.8031,0.4696,2022-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,0.3822,2.2034,70.8694,1.1380,0,0.9576,0.4065,0.1968,2022-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,0.0359,0.8615,34.8044,0.5693,0,1.1966,0.0091,0.0537,2023-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,0.0451,0.5010,2.5629,0.0453,0,2.1869,0.0179,0.0089,2023-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,0.1086,4.4871,42.6843,0.5830,0,0.2516,0.1252,0.5274,2023-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,0.2438,14.8552,15.2186,0.6311,0,3.5518,0.0447,0.0273,2023-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,0.8280,14.7501,3.3451,0.3050,0,18.2044,0,0,2023-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,0.2163,7.1340,2.7912,0.0358,0,15.5788,0,0.0893,2023-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,0.0635,6.3995,6.4581,1.9427,0,1.0969,0.0179,1.2144,2023-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,0,2.0151,51.4323,10.1399,0,2.2216,0.0804,1.3222,2023-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,0.0179,1.2712,57.9566,3.5469,0,31.3832,0,0.2765,2023-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,0.4095,0.2415,3.2026,0.5355,0,34.4228,0.0982,0.6171,2023-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,0.0620,5.2266,5.1000,1.0090,0,10.6151,0.1431,0.4356,2023-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0,0.1812,1.0879,0.7614,1.2451,0,3.2981,0,0.0181,2023-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,0.1352,0.4564,1.7885,3.5218,0,4.4090,0,0.2312,2024-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,0.0724,0.3135,1.1462,2.0088,0,4.2453,0,0.1971,2024-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,0.0272,16.3227,0.5055,0.6530,0,20.0587,0.0537,0.7259,2024-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0,0,0.1443,1.3385,3.1154,0,8.8674,0,0.2620,2024-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,0,0.8415,4.3132,5.2458,0,2.0677,0,0.0181,2024-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0,0,0.8413,1.2962,6.4382,0,2.6910,0,0.3260,2024-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0,0.0090,0.1445,1.8541,16.1738,0,0.5843,0,0,2024-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0,0,1.1324,2.5491,2.4197,0,0.4432,0,0.1087,2024-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,1.6651,0,4.2539,13.0764,24.5964,0,0.0633,0,0.2167,2024-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.4921,0,0.0359,1.4867,1.6257,0,0.0725,0,0.0455,2024-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,1.0386,0,3.2110,1.7029,1.4610,0,0.0182,0.0182,0,2024-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0,0,0,0,0,115.9601,0,0,0,2024-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
