system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,3.8401,5.7662,0,11.7371,0,298.1118,0,0.0083,0,2020-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,23.3562,0,5.9182,0,0,0,0,0,2020-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,41.5601,0.0083,26.3856,0,0,0.4264,0,0,2020-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,24.0070,0,30.5467,0,0.0583,0.2348,0,0,2020-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,47.5929,0,0.9079,0,0,2.8672,0,0,2020-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,504.6515,0,0.2589,0,0,21.6346,0,0,2020-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,167.5889,0,6.5649,0.0084,0,5.0410,0.0336,0,2020-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,147.9436,0,13.3600,0.0588,0,0.7755,0,0,2020-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,119.4945,0,14.1047,0.0420,0,0.2607,0,0,2020-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,150.8442,0,3.2148,0.0084,0,1.6741,0,0,2020-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,16.0421,0,20.1658,0.0169,0,0.8488,0,0,2020-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,6.8515,0.0666,52.8526,0.1508,0,0.3936,0.0084,0,2020-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,10.3597,0.0583,57.6544,0.1757,0,0.6751,0,0,2021-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,8.7387,0.0167,104.8039,1.1919,0,0.6454,0,0,2021-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,7.1883,0.0918,130.7440,1.5587,0,0.3807,0.0492,0,2021-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,41.7926,0.0750,7.6608,0.0746,0,10.8680,0,0,2021-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,240.2079,0.0664,27.9420,0.1174,0,63.4143,0.0574,0,2021-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,282.7038,0,20.4167,0.1003,0,68.4718,0,0,2021-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,109.3362,0.0083,52.5493,0.7878,0,15.0167,0,0,2021-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,169.1733,0.0082,21.8246,0.7655,0,16.8648,0,0,2021-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,92.3195,0.1238,154.3938,2.6933,0,3.9900,0,0,2021-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,9.7358,0.0828,58.9998,1.5797,0,0.8307,0,0,2021-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,0.6329,0.8683,243.3511,6.2285,0,0.1825,0,0,2021-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,10.2104,0.5887,92.8528,1.7418,0,3.3705,0,0,2021-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,67.0054,0.0490,14.9972,0.3738,0,38.7695,0,0,2022-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,115.3154,0,4.1590,0,0,60.4223,0,0,2022-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,54.0200,0.2710,7.5192,0.2507,0,11.8880,0,0,2022-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,59.2909,0.2535,16.8549,2.0675,0,21.8478,0.0084,0,2022-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,160.6715,0.0419,50.2698,3.0657,0,15.7509,0,0,2022-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,140.9955,0,25.0854,3.6061,0,17.3273,0.6127,0,2022-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,59.6625,0.0506,48.4387,3.0275,0,9.6258,2.0798,0.6573,2022-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,22.5139,0.1603,24.8209,4.4690,0,11.4464,0.0506,0.2781,2022-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,30.3376,0.4386,117.4006,12.0517,0,3.1216,0.1433,0.2695,2022-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,34.8015,0.1176,11.9002,0.4739,0,14.4298,0.0656,0.3696,2022-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,1.1150,0.2240,105.9389,4.0319,0,0.6275,0.3707,0.2266,2022-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,10.3927,0.1407,76.5012,9.3625,0,2.7724,0.1857,0.0082,2022-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
