system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0.1028,2.2034,0,12.4163,0,364.2714,0,0.1190,0,2020-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,12.6065,0,6.2978,0,0.0952,0,0,0,2020-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,23.5780,0,12.2928,0,0,0.5694,0,0,2020-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,9.8432,0,32.8706,0,0,0.2379,0,0,2020-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,22.6290,0,1.1283,0,0,2.2530,0,0,2020-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,649.7954,0,0.0879,0,0,38.0947,0,0,2020-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,118.8971,0,1.2530,0.0079,0,1.8490,0.0160,0,2020-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,142.0207,0,3.8428,0.0321,0,1.1056,0,0,2020-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,32.0458,0,3.9128,0,0,0.5222,0,0,2020-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,100.8363,0,0.5384,0.0079,0,0.9945,0,0,2020-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,9.3727,0,7.4664,0.0158,0,0.2784,0,0,2020-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,2.8585,0,35.4623,0.0951,0,0.1925,0,0,2020-12-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,5.7542,0,58.0415,0.3855,0,0.0952,0,0,2021-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,2.8137,0,44.4747,0.6932,0,0.2865,0,0,2021-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,4.1103,0,23.5213,0.8432,0,1.9732,0,0,2021-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,55.3571,0,3.0927,0.0948,0,41.6587,0,0,2021-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,141.1252,0.0560,4.4663,0.0950,0,24.8698,0,0.0316,2021-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,101.6511,0,3.4227,0.0637,0,29.6816,0,0,2021-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,36.5781,0.0563,22.5626,0.8925,0,2.9997,0.0079,0,2021-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,15.3711,0.0159,51.8007,1.3489,0,2.0165,0,0,2021-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,1.6326,0.2618,2413.2919,38.8817,0,0.0963,0,0,2021-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,0.6955,0,2456.1168,44.7863,0,0.0643,0,0.0079,2021-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,0,0.0477,1063.1972,16.5799,0,0,0,0.0476,2021-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,0.4538,0,358.4287,4.4088,0,0.7624,0,0,2021-12-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,2.3393,0,6.8101,0.2680,0,15.7766,0,0.2683,2022-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,2.3729,0,0.3976,0.0402,0,407.7217,0,0.3476,2022-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,0.2697,0.1034,4.3917,2.2843,0,89.3455,0.0955,0.0316,2022-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,7.6528,0.0395,6.6353,6.0339,0,2402.7538,0.0239,0.3944,2022-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,3.2575,0.1104,12.6365,17.6605,0,39.1097,0,0.1025,2022-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,2.2197,0.0315,5.3158,66.6001,0,13.7697,0.1591,0.1657,2022-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,0.2075,0,20.6788,436.7555,0,2.8433,0.5173,0.0158,2022-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,0.0643,0,39.2237,1091.7830,0,2.2901,0.0559,0.4418,2022-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,0,0.0080,275.4934,1278.7079,0,0.0641,0.0319,0.3627,2022-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,0.0477,0,35.6917,7.8271,0,1.8128,0.0956,0.3161,2022-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,0,0.0158,103.5516,6.6215,0,2.1910,1.4892,0.7394,2022-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,0.2241,0,39.2481,2.4061,0,4.4769,0.0717,0.9322,2022-12-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,0.4564,0.0079,8.2264,0.2476,0,42.6959,0,0.0947,2023-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,0.0719,0,7.3192,1.0359,0,11.8169,0.3266,0.3395,2023-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,0.0796,0.0394,82.9461,22.1454,0,1.1992,1.0824,0.3087,2023-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,0.3605,0.1508,58.6682,3.3007,0,11.5845,0.1914,0.0080,2023-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,0.2557,0.0555,45.4209,2.3322,0,6.9324,0,0.0397,2023-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,0.5025,0,29.7049,1.5065,0,11.4405,0,1.4959,2023-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,0.0240,0.0394,142.3916,16.1987,0,0.6757,1.5112,2.5779,2023-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
