system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,1.9414,2.5745,0.0086,12.3156,0,50.9607,0,0.0425,0,2020-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,19.9778,0,0.8070,0,0,0,0,0,2020-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,235.3457,0.0513,2.1237,0,0,4.7977,0,0,2020-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,114.2412,0.1966,4.5489,0,0,0.1613,0,0,2020-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,173.9246,0,0.5861,0.0513,0,0.9354,0,0,2020-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,436.3076,0.1026,3.2687,0,0,4.3865,0,0,2020-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,60.2779,0.0940,21.8929,0.0085,0,0.1792,0.0595,0,2020-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,36.9159,0.0257,35.8099,0,0,0.3158,0,0,2020-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,11.5249,0.0171,12.3631,0,0,0.0598,0,0,2020-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,58.9469,0,2.2179,0,0,1.1341,0,0,2020-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,0.8446,0.1111,27.5515,0.0256,0,0.2303,0.2972,0,2020-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0.6052,0.0769,58.8244,0.3586,0,0.0085,0.0764,0,2020-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,3.7039,0.1283,36.0761,0.0854,0,0.4867,0,0,2021-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,7.6231,0.0171,15.4790,0.0682,0,6.8792,0,0,2021-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,11.1863,0.2907,7.1328,0.0513,0,6.7166,0,0,2021-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,141.4806,0.0599,0.0767,0.0170,0,87.3951,0,0,2021-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,233.0263,0.1112,2.2711,0.0170,0,36.1187,0,0,2021-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,131.7989,0.3334,5.2328,0,0,26.0756,0,0,2021-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,20.2177,0.0599,10.4207,0.3326,0,4.7982,0,0,2021-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,23.0197,0.0513,13.1350,0.2133,0,4.0492,0,0,2021-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
