system:index,Herbicide control,Invasion,Mangrove,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,2.1432,21.0200,6.6506,16.5317,0,689.1902,0,0.3201,0,2020-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,69.8622,0.2198,6.6530,0,3.5237,0,0,0,2020-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,534.3000,0.4724,7.4903,0,0,2.3263,0,0,2020-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,276.5852,0.9664,10.2282,0,45.9882,1.7185,0,0,2020-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,240.9321,0.1583,4.3132,0,0,1.7450,0,0,2020-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,538.7750,0.1055,4.2400,0,0,8.3402,0,0,2020-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,50.6538,1.2220,61.5660,0,0,1.4216,0.8350,0,2020-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,62.2054,1.8061,285.1633,0.0346,0,0.7973,0.1131,0,2020-08-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,28.0705,0.1587,67.1906,0.1128,0,0.6615,0.0261,0,2020-09-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,64.0039,0.4748,10.2940,0,0,8.1107,0.0783,0,2020-10-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,3.1143,3.3970,75.7981,0.0782,0,3.5761,0.0435,0,2020-11-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,6.5186,5.7553,99.9953,0.8884,0,2.3044,0.0262,0,2020-12-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,36.5396,3.0664,33.9257,0.1225,0,11.2462,0,0,2021-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,97.1603,1.5755,36.5027,0.2443,0,49.8475,0,0,2021-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,51.1710,5.3201,35.9253,0.7464,0,10.6880,0.0174,0,2021-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,235.6155,7.2522,1.1483,0.0612,0,97.3105,0,0,2021-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,242.5995,6.3322,9.1514,0.1220,0,57.0717,0,0.0087,2021-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,207.9439,1.1770,12.9739,0.1042,0,29.9883,0,0.0175,2021-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,47.7982,1.2182,53.2731,1.1194,0,3.8882,0.4092,0.0526,2021-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
