system:index,bands_value,label,latitude,longitude,system:time_start,.geo
0_2019_08,"{B2=774.5, B3=1029.5, B4=843.0, B5=1156.5, B6=1828.0, B7=2064.5, B8=2000.5, B8A=2068.5, B11=1244.5, B12=705.0, VV=-9.886222327894977, VH=-14.337629581958275}",1,26.745705445393288,120.02371547035564,2019-08-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2019_09,"{B2=579.0, B3=872.0, B4=763.0, B5=993.5, B6=1400.0, B7=1600.0, B8=1451.0, B8A=1532.5, B11=895.0, B12=464.0, VV=-9.094938413221922, VH=-15.498716655270659}",1,26.745705445393288,120.02371547035564,2019-09-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2019_10,"{B2=664.0, B3=837.5, B4=799.0, B5=707.5, B6=641.0, B7=749.5, B8=677.5, B8A=676.0, B11=348.0, B12=192.5, VV=-9.943592099889885, VH=-16.49958587828568}",1,26.745705445393288,120.02371547035564,2019-10-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2019_11,"{B2=681.5, B3=876.0, B4=785.0, B5=730.0, B6=576.5, B7=663.0, B8=671.5, B8A=606.5, B11=358.0, B12=279.5, VV=-9.969905901016332, VH=-15.141128641430445}",1,26.745705445393288,120.02371547035564,2019-11-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2019_12,"{B2=749.860655737705, B3=911.655737704918, B4=859.5081967213115, B5=923.032786885246, B6=881.9098360655737, B7=954.3934426229508, B8=957.483606557377, B8A=920.7622950819672, B11=798.1639344262295, B12=616.139344262295, VV=-9.006079204790701, VH=-14.717344918583532}",1,26.745705445393288,120.02371547035564,2019-12-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_01,"{B2=820.5, B3=948.5, B4=936.5, B5=1122.5, B6=1197.5, B7=1255.5, B8=1253.0, B8A=1245.5, B11=1253.0, B12=964.0, VV=-9.674709321965802, VH=-12.759173472388632}",1,26.745705445393288,120.02371547035564,2020-01-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_02,"{B2=747.5, B3=978.0, B4=869.5, B5=868.5, B6=756.0, B7=771.5, B8=912.5, B8A=762.0, B11=645.0, B12=494.5, VV=-12.973166250918586, VH=-24.475195512148954}",1,26.745705445393288,120.02371547035564,2020-02-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_03,"{B2=1650.0, B3=1868.0, B4=1664.0, B5=1674.0, B6=1389.0, B7=1364.0, B8=1233.0, B8A=1309.0, B11=1190.5, B12=1180.5, VV=-8.990937124511596, VH=-12.519203988745437}",1,26.745705445393288,120.02371547035564,2020-03-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_04,"{B2=894.0, B3=1050.0, B4=925.5, B5=1087.0, B6=1202.0, B7=1273.5, B8=1108.5, B8A=1207.0, B11=942.5, B12=663.0, VV=-8.749548248366857, VH=-17.829354745711832}",1,26.745705445393288,120.02371547035564,2020-04-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2020_05,"{B2=774.0, B3=924.0, B4=951.5, B5=1063.0, B6=1220.5, B7=1309.5, B8=1315.5, B8A=1306.0, B11=1263.5, B12=894.5, VV=-6.033451221879002, VH=-11.865384938943478}",1,26.745705445393288,120.02371547035564,2020-05-01T00:00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
